Analizing File:  ImageValidator.c
Analizing File:  leaky_bucket.c
        0.47 real         0.03 user         0.00 sys
        0.44 real         0.02 user         0.00 sys
        0.43 real         0.02 user         0.00 sys
        0.47 real         0.03 user         0.01 sys
        0.43 real         0.02 user         0.00 sys
        0.43 real         0.02 user         0.00 sys
        0.43 real         0.02 user         0.00 sys
        0.43 real         0.02 user         0.00 sys
        0.44 real         0.02 user         0.00 sys
        0.43 real         0.02 user         0.00 sys
Analizing File:  loopFilter.c
        0.74 real         0.16 user         0.01 sys
        0.74 real         0.16 user         0.01 sys
        0.81 real         0.17 user         0.01 sys
        0.82 real         0.19 user         0.01 sys
        0.70 real         0.15 user         0.01 sys
        0.77 real         0.16 user         0.01 sys
        0.70 real         0.15 user         0.00 sys
        0.71 real         0.15 user         0.01 sys
        0.73 real         0.16 user         0.01 sys
        0.71 real         0.15 user         0.01 sys
Analizing File:  loop_filter_mbaff.c
        1.12 real         0.35 user         0.01 sys
        1.11 real         0.35 user         0.01 sys
        1.14 real         0.35 user         0.01 sys
        1.12 real         0.35 user         0.01 sys
        1.10 real         0.35 user         0.01 sys
        1.26 real         0.43 user         0.01 sys
        1.20 real         0.37 user         0.01 sys
        1.16 real         0.36 user         0.01 sys
        1.10 real         0.35 user         0.01 sys
        1.10 real         0.35 user         0.01 sys
Analizing File:  loop_filter_normal.c
        1.24 real         0.41 user         0.01 sys
        1.16 real         0.35 user         0.01 sys
        1.29 real         0.35 user         0.03 sys
        1.10 real         0.35 user         0.01 sys
        1.10 real         0.35 user         0.01 sys
        1.09 real         0.34 user         0.01 sys
        1.13 real         0.36 user         0.01 sys
        1.11 real         0.35 user         0.01 sys
        1.12 real         0.35 user         0.01 sys
        1.08 real         0.34 user         0.01 sys
Analizing File:  macroblock.c
        3.77 real         1.54 user         0.03 sys
        3.73 real         1.53 user         0.03 sys
        3.73 real         1.52 user         0.03 sys
        3.83 real         1.61 user         0.03 sys
        3.70 real         1.50 user         0.03 sys
        3.76 real         1.56 user         0.03 sys
        3.75 real         1.54 user         0.03 sys
        3.72 real         1.52 user         0.03 sys
        3.86 real         1.53 user         0.03 sys
        3.75 real         1.52 user         0.03 sys
Analizing File:  mb_access.c
        0.75 real         0.18 user         0.01 sys
        0.73 real         0.17 user         0.01 sys
        0.73 real         0.17 user         0.01 sys
        0.72 real         0.17 user         0.01 sys
        0.72 real         0.17 user         0.01 sys
        0.72 real         0.17 user         0.01 sys
        0.74 real         0.17 user         0.01 sys
        0.75 real         0.17 user         0.01 sys
        0.72 real         0.17 user         0.01 sys
        0.76 real         0.17 user         0.01 sys
Analizing File:  mb_prediction.c
        1.48 real         0.45 user         0.01 sys
        1.45 real         0.45 user         0.01 sys
        1.46 real         0.44 user         0.01 sys
        1.47 real         0.44 user         0.02 sys
        1.48 real         0.45 user         0.01 sys
        1.48 real         0.45 user         0.01 sys
        1.58 real         0.45 user         0.02 sys
        1.46 real         0.44 user         0.01 sys
        1.45 real         0.44 user         0.01 sys
        1.47 real         0.45 user         0.01 sys
Analizing File:  mbuffer.c
        2.69 real         1.04 user         0.02 sys
        2.63 real         1.02 user         0.02 sys
        2.71 real         1.05 user         0.02 sys
        2.76 real         1.03 user         0.02 sys
        2.65 real         1.03 user         0.02 sys
        2.68 real         1.05 user         0.02 sys
        2.69 real         1.03 user         0.02 sys
        2.65 real         1.04 user         0.02 sys
        2.70 real         1.07 user         0.02 sys
        2.67 real         1.03 user         0.02 sys
Analizing File:  mbuffer_mvc.c
        1.26 real         0.41 user         0.01 sys
        1.25 real         0.40 user         0.01 sys
        1.26 real         0.41 user         0.01 sys
        1.24 real         0.40 user         0.01 sys
        1.25 real         0.40 user         0.01 sys
        1.25 real         0.41 user         0.01 sys
        1.26 real         0.41 user         0.01 sys
        1.25 real         0.40 user         0.01 sys
        1.30 real         0.40 user         0.02 sys
        1.24 real         0.40 user         0.01 sys
Analizing File:  mc_direct.c
        1.12 real         0.31 user         0.01 sys
        1.11 real         0.31 user         0.01 sys
        1.11 real         0.31 user         0.01 sys
        1.18 real         0.32 user         0.01 sys
        1.12 real         0.31 user         0.01 sys
        1.10 real         0.30 user         0.01 sys
        1.12 real         0.30 user         0.01 sys
        1.12 real         0.31 user         0.01 sys
        1.15 real         0.31 user         0.02 sys
        1.15 real         0.31 user         0.01 sys
Analizing File:  mc_prediction.c
        1.87 real         0.73 user         0.01 sys
        1.84 real         0.71 user         0.01 sys
        1.80 real         0.71 user         0.01 sys
        1.83 real         0.71 user         0.01 sys
        1.92 real         0.73 user         0.02 sys
        1.85 real         0.70 user         0.01 sys
        1.84 real         0.71 user         0.02 sys
        1.82 real         0.72 user         0.01 sys
        1.87 real         0.71 user         0.01 sys
        1.84 real         0.71 user         0.01 sys
Analizing File:  memalloc.c
        1.59 real         0.49 user         0.01 sys
        1.52 real         0.49 user         0.01 sys
        1.50 real         0.49 user         0.01 sys
        1.57 real         0.51 user         0.01 sys
        1.51 real         0.49 user         0.01 sys
        1.51 real         0.49 user         0.01 sys
        1.57 real         0.51 user         0.01 sys
        1.58 real         0.51 user         0.01 sys
        1.57 real         0.50 user         0.01 sys
        1.58 real         0.51 user         0.01 sys
Analizing File:  mv_prediction.c
        0.72 real         0.17 user         0.01 sys
        0.71 real         0.17 user         0.01 sys
        0.76 real         0.20 user         0.01 sys
        0.77 real         0.18 user         0.01 sys
        0.75 real         0.21 user         0.01 sys
        0.73 real         0.18 user         0.01 sys
        0.73 real         0.18 user         0.01 sys
        0.71 real         0.17 user         0.01 sys
        0.75 real         0.20 user         0.01 sys
        0.74 real         0.18 user         0.01 sys
Analizing File:  nal.c
        0.47 real         0.04 user         0.00 sys
        0.47 real         0.04 user         0.01 sys
        0.48 real         0.04 user         0.00 sys
        0.48 real         0.04 user         0.00 sys
        0.47 real         0.04 user         0.01 sys
        0.47 real         0.04 user         0.00 sys
        0.47 real         0.04 user         0.00 sys
        0.45 real         0.04 user         0.00 sys
        0.48 real         0.04 user         0.00 sys
        0.46 real         0.04 user         0.00 sys
Analizing File:  nalu.c
        0.68 real         0.12 user         0.01 sys
        0.68 real         0.11 user         0.01 sys
        0.73 real         0.15 user         0.01 sys
        0.67 real         0.11 user         0.01 sys
        0.68 real         0.11 user         0.01 sys
        0.67 real         0.11 user         0.00 sys
        0.67 real         0.11 user         0.01 sys
        0.68 real         0.12 user         0.01 sys
        0.68 real         0.12 user         0.01 sys
        0.66 real         0.11 user         0.01 sys
Analizing File:  nalucommon.c
        0.51 real         0.04 user         0.00 sys
        0.56 real         0.03 user         0.01 sys
        0.50 real         0.03 user         0.00 sys
        0.49 real         0.04 user         0.00 sys
        0.50 real         0.03 user         0.00 sys
        0.48 real         0.03 user         0.00 sys
        0.50 real         0.03 user         0.01 sys
        0.54 real         0.03 user         0.02 sys
        0.49 real         0.03 user         0.00 sys
        0.50 real         0.03 user         0.01 sys
Analizing File:  output.c
        0.93 real         0.24 user         0.01 sys
        0.91 real         0.24 user         0.01 sys
        0.91 real         0.24 user         0.01 sys
        0.92 real         0.24 user         0.01 sys
        0.93 real         0.25 user         0.01 sys
        0.93 real         0.24 user         0.01 sys
        0.93 real         0.24 user         0.01 sys
        0.92 real         0.24 user         0.01 sys
        0.94 real         0.24 user         0.01 sys
        0.94 real         0.25 user         0.01 sys
Analizing File:  parset.c
        1.57 real         0.45 user         0.01 sys
        1.47 real         0.44 user         0.01 sys
        1.49 real         0.45 user         0.01 sys
        1.47 real         0.44 user         0.01 sys
        1.45 real         0.43 user         0.01 sys
        1.47 real         0.44 user         0.01 sys
        1.47 real         0.44 user         0.01 sys
        1.47 real         0.44 user         0.01 sys
        1.47 real         0.44 user         0.01 sys
        1.46 real         0.44 user         0.01 sys
Analizing File:  parsetcommon.c
        0.60 real         0.09 user         0.01 sys
        0.61 real         0.09 user         0.00 sys
        0.61 real         0.09 user         0.01 sys
        0.62 real         0.09 user         0.01 sys
        0.61 real         0.09 user         0.00 sys
        0.62 real         0.09 user         0.01 sys
        0.63 real         0.10 user         0.01 sys
        0.60 real         0.09 user         0.01 sys
        0.61 real         0.09 user         0.01 sys
        0.62 real         0.09 user         0.01 sys
Analizing File:  quant.c
        0.79 real         0.16 user         0.01 sys
        0.77 real         0.16 user         0.01 sys
        0.78 real         0.16 user         0.01 sys
        0.81 real         0.17 user         0.01 sys
        0.79 real         0.16 user         0.01 sys
        0.79 real         0.16 user         0.01 sys
        0.76 real         0.16 user         0.01 sys
        0.78 real         0.16 user         0.01 sys
        0.76 real         0.16 user         0.01 sys
        0.80 real         0.16 user         0.01 sys
Analizing File:  rtp.c
        0.69 real         0.11 user         0.01 sys
        0.74 real         0.11 user         0.01 sys
        0.68 real         0.11 user         0.01 sys
        0.68 real         0.11 user         0.01 sys
        0.69 real         0.11 user         0.01 sys
        0.70 real         0.11 user         0.01 sys
        0.69 real         0.12 user         0.01 sys
        0.70 real         0.11 user         0.01 sys
        0.73 real         0.13 user         0.01 sys
        0.68 real         0.11 user         0.01 sys
Analizing File:  sei.c
        1.24 real         0.38 user         0.01 sys
        1.24 real         0.38 user         0.01 sys
        1.24 real         0.38 user         0.01 sys
        1.25 real         0.39 user         0.01 sys
        1.24 real         0.39 user         0.01 sys
        1.24 real         0.38 user         0.01 sys
        1.24 real         0.38 user         0.01 sys
        1.22 real         0.38 user         0.01 sys
        1.25 real         0.38 user         0.01 sys
        1.24 real         0.38 user         0.01 sys
Analizing File:  transform.c
        0.77 real         0.19 user         0.01 sys
        0.76 real         0.19 user         0.01 sys
        0.76 real         0.19 user         0.01 sys
        0.76 real         0.19 user         0.01 sys
        0.78 real         0.20 user         0.01 sys
        0.76 real         0.19 user         0.01 sys
        0.76 real         0.19 user         0.01 sys
        0.75 real         0.19 user         0.01 sys
        0.77 real         0.19 user         0.01 sys
