Analizing File:  DynaLoader.c
        1.95 real         0.29 user         0.01 sys
        2.00 real         0.29 user         0.01 sys
Analizing File:  doop.c
        1.77 real         0.23 user         0.01 sys
        1.70 real         0.23 user         0.01 sys
        1.72 real         0.23 user         0.01 sys
        1.71 real         0.23 user         0.01 sys
        1.74 real         0.23 user         0.01 sys
        1.72 real         0.23 user         0.01 sys
        1.71 real         0.24 user         0.01 sys
        1.71 real         0.23 user         0.01 sys
        1.71 real         0.23 user         0.01 sys
        1.72 real         0.23 user         0.01 sys
Analizing File:  dquote.c
        0.08 real         0.03 user         0.01 sys
        0.09 real         0.03 user         0.01 sys
        0.06 real         0.02 user         0.00 sys
        0.07 real         0.02 user         0.00 sys
        0.07 real         0.02 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
        0.10 real         0.03 user         0.01 sys
        0.07 real         0.02 user         0.01 sys
        0.07 real         0.02 user         0.00 sys
        0.06 real         0.02 user         0.01 sys
Analizing File:  dump.c
        2.70 real         0.51 user         0.01 sys
        2.66 real         0.50 user         0.01 sys
        2.70 real         0.51 user         0.01 sys
        2.70 real         0.51 user         0.01 sys
        2.68 real         0.50 user         0.01 sys
        2.71 real         0.50 user         0.01 sys
        2.69 real         0.52 user         0.01 sys
        2.74 real         0.55 user         0.01 sys
        2.69 real         0.50 user         0.01 sys
        2.70 real         0.50 user         0.01 sys
Analizing File:  Peek.c
        1.38 real         0.14 user         0.01 sys
        1.31 real         0.14 user         0.01 sys
        1.31 real         0.14 user         0.01 sys
        1.32 real         0.14 user         0.01 sys
        2.30 real         0.16 user         0.01 sys
        1.31 real         0.14 user         0.01 sys
        1.39 real         0.15 user         0.01 sys
        1.31 real         0.14 user         0.01 sys
        1.31 real         0.14 user         0.01 sys
        1.32 real         0.14 user         0.01 sys
Analizing File:  Glob.c
        1.32 real         0.13 user         0.01 sys
        1.33 real         0.12 user         0.01 sys
        1.30 real         0.12 user         0.01 sys
        1.29 real         0.12 user         0.01 sys
        1.30 real         0.12 user         0.01 sys
        1.31 real         0.13 user         0.01 sys
        1.32 real         0.13 user         0.01 sys
        1.34 real         0.12 user         0.01 sys
        1.31 real         0.12 user         0.01 sys
        1.31 real         0.12 user         0.01 sys
Analizing File:  bsd_glob.c
        1.41 real         0.12 user         0.01 sys
        1.31 real         0.11 user         0.01 sys
        1.32 real         0.11 user         0.01 sys
        1.31 real         0.11 user         0.01 sys
        1.32 real         0.11 user         0.01 sys
        1.63 real         0.12 user         0.01 sys
        1.32 real         0.11 user         0.01 sys
        1.29 real         0.11 user         0.01 sys
        1.30 real         0.12 user         0.01 sys
        1.27 real         0.11 user         0.01 sys
Analizing File:  Util.c
        1.33 real         0.12 user         0.01 sys
        1.31 real         0.12 user         0.01 sys
        1.31 real         0.12 user         0.01 sys
        1.30 real         0.12 user         0.01 sys
        1.32 real         0.12 user         0.01 sys
        1.29 real         0.11 user         0.01 sys
        1.29 real         0.11 user         0.01 sys
        1.30 real         0.11 user         0.01 sys
        1.28 real         0.11 user         0.01 sys
        1.29 real         0.11 user         0.01 sys
Analizing File:  FieldHash.c
        1.37 real         0.11 user         0.01 sys
        1.30 real         0.11 user         0.01 sys
        1.32 real         0.11 user         0.01 sys
        1.30 real         0.11 user         0.01 sys
        1.32 real         0.11 user         0.01 sys
        1.30 real         0.11 user         0.01 sys
        1.31 real         0.11 user         0.01 sys
        1.32 real         0.11 user         0.00 sys
        1.48 real         0.13 user         0.01 sys
        1.30 real         0.11 user         0.01 sys
Analizing File:  scalar.c
        1.29 real         0.11 user         0.01 sys
        1.20 real         0.09 user         0.01 sys
        1.21 real         0.09 user         0.01 sys
        1.19 real         0.09 user         0.01 sys
        1.21 real         0.09 user         0.01 sys
        1.22 real         0.09 user         0.01 sys
        1.19 real         0.09 user         0.01 sys
        1.25 real         0.09 user         0.01 sys
        1.22 real         0.09 user         0.01 sys
        1.22 real         0.09 user         0.01 sys
Analizing File:  via.c
        1.39 real         0.16 user         0.01 sys
        1.33 real         0.14 user         0.01 sys
        1.36 real         0.14 user         0.01 sys
        1.33 real         0.14 user         0.01 sys
        1.33 real         0.14 user         0.01 sys
        1.38 real         0.14 user         0.01 sys
        1.36 real         0.15 user         0.01 sys
        1.39 real         0.14 user         0.01 sys
        1.34 real         0.14 user         0.01 sys
        1.35 real         0.14 user         0.01 sys
Analizing File:  Hostname.c
        1.23 real         0.04 user         0.01 sys
        1.07 real         0.03 user         0.01 sys
        1.06 real         0.03 user         0.01 sys
        1.05 real         0.04 user         0.00 sys
        1.06 real         0.03 user         0.01 sys
        1.06 real         0.04 user         0.01 sys
        1.06 real         0.03 user         0.01 sys
        1.08 real         0.04 user         0.00 sys
        1.07 real         0.03 user         0.01 sys
        1.06 real         0.04 user         0.01 sys
Analizing File:  NamedCapture.c
        1.12 real         0.07 user         0.01 sys
        1.10 real         0.08 user         0.00 sys
        1.11 real         0.07 user         0.01 sys
        1.11 real         0.08 user         0.01 sys
        1.10 real         0.07 user         0.01 sys
        1.12 real         0.07 user         0.01 sys
        1.21 real         0.08 user         0.01 sys
        1.11 real         0.07 user         0.01 sys
        1.11 real         0.08 user         0.01 sys
        1.15 real         0.08 user         0.01 sys
Analizing File:  stdio.c
        0.12 real         0.03 user         0.01 sys
        0.12 real         0.03 user         0.00 sys
        0.14 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.01 sys
        0.12 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
Analizing File:  arybase.c
        1.48 real         0.14 user         0.01 sys
        1.36 real         0.14 user         0.01 sys
        1.35 real         0.15 user         0.01 sys
        1.38 real         0.14 user         0.01 sys
        1.33 real         0.14 user         0.01 sys
        1.33 real         0.14 user         0.01 sys
        1.35 real         0.14 user         0.01 sys
        1.33 real         0.14 user         0.01 sys
        1.35 real         0.14 user         0.01 sys
        1.34 real         0.14 user         0.01 sys
Analizing File:  attributes.c
        1.29 real         0.09 user         0.01 sys
        1.27 real         0.08 user         0.01 sys
        1.21 real         0.09 user         0.01 sys
        1.29 real         0.08 user         0.01 sys
        1.21 real         0.08 user         0.01 sys
        1.27 real         0.08 user         0.01 sys
        1.21 real         0.08 user         0.01 sys
        1.22 real         0.09 user         0.01 sys
        1.22 real         0.09 user         0.01 sys
        1.21 real         0.09 user         0.01 sys
Analizing File:  mro.c
        1.56 real         0.16 user         0.01 sys
        1.41 real         0.15 user         0.01 sys
        1.44 real         0.16 user         0.01 sys
        1.44 real         0.15 user         0.01 sys
        1.42 real         0.15 user         0.01 sys
        1.42 real         0.16 user         0.01 sys
        1.44 real         0.16 user         0.01 sys
        1.45 real         0.16 user         0.01 sys
        1.45 real         0.16 user         0.01 sys
        1.42 real         0.16 user         0.01 sys
Analizing File:  re.c
        1.10 real         0.05 user         0.00 sys
        1.11 real         0.05 user         0.01 sys
        1.10 real         0.05 user         0.00 sys
        1.12 real         0.04 user         0.00 sys
        1.10 real         0.05 user         0.01 sys
        1.13 real         0.05 user         0.01 sys
        1.12 real         0.05 user         0.00 sys
        1.11 real         0.04 user         0.00 sys
        1.11 real         0.05 user         0.00 sys
        1.20 real         0.05 user         0.01 sys
Analizing File:  re_comp.c
       10.38 real         3.02 user         0.04 sys
       10.60 real         3.11 user         0.05 sys
       10.57 real         3.16 user         0.05 sys
       10.50 real         3.09 user         0.05 sys
       10.48 real         3.09 user         0.04 sys
       10.40 real         3.01 user         0.05 sys
       10.41 real         3.00 user         0.04 sys
       10.46 real         3.04 user         0.04 sys
       10.38 real         3.02 user         0.04 sys
       10.46 real         3.01 user         0.04 sys
Analizing File:  re_exec.c
        5.34 real         1.28 user         0.02 sys
        5.44 real         1.31 user         0.02 sys
        5.37 real         1.29 user         0.02 sys
        5.30 real         1.28 user         0.02 sys
        5.50 real         1.34 user         0.02 sys
        5.31 real         1.29 user         0.02 sys
        5.37 real         1.30 user         0.04 sys
        5.40 real         1.29 user         0.02 sys
        5.32 real         1.28 user         0.02 sys
        5.35 real         1.29 user         0.02 sys
Analizing File:  globals.c
        2.03 real         0.14 user         0.01 sys
        1.89 real         0.14 user         0.01 sys
        1.97 real         0.14 user         0.01 sys
        1.90 real         0.13 user         0.01 sys
        1.87 real         0.14 user         0.01 sys
        1.91 real         0.13 user         0.01 sys
        1.86 real         0.14 user         0.01 sys
        1.89 real         0.14 user         0.01 sys
        1.89 real         0.14 user         0.01 sys
        1.96 real         0.14 user         0.01 sys
Analizing File:  gv.c
        2.95 real         0.60 user         0.01 sys
        2.91 real         0.60 user         0.01 sys
        2.94 real         0.61 user         0.01 sys
        3.07 real         0.63 user         0.03 sys
        2.92 real         0.60 user         0.01 sys
        2.95 real         0.60 user         0.01 sys
        2.97 real         0.62 user         0.02 sys
        2.92 real         0.61 user         0.01 sys
        2.92 real         0.61 user         0.01 sys
        2.93 real         0.60 user         0.01 sys
Analizing File:  hv.c
        2.50 real         0.47 user         0.01 sys
        2.44 real         0.49 user         0.01 sys
        2.50 real         0.49 user         0.02 sys
        2.63 real         0.54 user         0.02 sys
        2.60 real         0.47 user         0.01 sys
        2.55 real         0.49 user         0.02 sys
        2.48 real         0.47 user         0.01 sys
        3.84 real         1.26 user         0.03 sys
        2.60 real         0.47 user         0.01 sys
        5.52 real         1.18 user         0.03 sys
