Analizing File:  DynaLoader.c
        1.43 real         0.15 user         0.01 sys
        1.44 real         0.16 user         0.01 sys
        1.42 real         0.15 user         0.01 sys
        1.42 real         0.15 user         0.01 sys
        1.51 real         0.18 user         0.01 sys
        1.44 real         0.15 user         0.01 sys
        1.44 real         0.15 user         0.01 sys
Analizing File:  re.c
        1.18 real         0.04 user         0.00 sys
        1.12 real         0.04 user         0.01 sys
        1.10 real         0.04 user         0.01 sys
        1.12 real         0.04 user         0.00 sys
        1.12 real         0.04 user         0.00 sys
        1.11 real         0.04 user         0.01 sys
        1.15 real         0.05 user         0.01 sys
        1.11 real         0.04 user         0.01 sys
        1.15 real         0.04 user         0.00 sys
        1.15 real         0.04 user         0.00 sys
Analizing File:  re_comp.c
       10.42 real         2.85 user         0.05 sys
       10.39 real         2.85 user         0.06 sys
       10.18 real         2.84 user         0.04 sys
       10.28 real         2.85 user         0.06 sys
       10.52 real         2.86 user         0.06 sys
       10.31 real         2.86 user         0.04 sys
       10.21 real         2.88 user         0.04 sys
       10.42 real         2.88 user         0.04 sys
       10.29 real         2.87 user         0.06 sys
       10.31 real         2.85 user         0.04 sys
Analizing File:  re_exec.c
        5.53 real         1.21 user         0.04 sys
        5.36 real         1.21 user         0.02 sys
        5.54 real         1.30 user         0.03 sys
        5.31 real         1.22 user         0.04 sys
        5.23 real         1.20 user         0.02 sys
        5.40 real         1.20 user         0.04 sys
        5.42 real         1.24 user         0.02 sys
        5.25 real         1.20 user         0.02 sys
        5.25 real         1.20 user         0.02 sys
        5.24 real         1.20 user         0.02 sys
Analizing File:  globals.c
        2.09 real         0.14 user         0.01 sys
        1.91 real         0.14 user         0.01 sys
        1.89 real         0.13 user         0.01 sys
        1.86 real         0.13 user         0.01 sys
        1.87 real         0.14 user         0.01 sys
        1.88 real         0.14 user         0.01 sys
        1.86 real         0.13 user         0.01 sys
        1.86 real         0.14 user         0.01 sys
        1.87 real         0.14 user         0.01 sys
        1.90 real         0.15 user         0.01 sys
Analizing File:  gv.c
        3.21 real         0.63 user         0.02 sys
        2.91 real         0.60 user         0.01 sys
        2.89 real         0.60 user         0.01 sys
        2.93 real         0.60 user         0.01 sys
        2.91 real         0.60 user         0.01 sys
        2.95 real         0.62 user         0.01 sys
        3.12 real         0.68 user         0.02 sys
        2.91 real         0.61 user         0.01 sys
        2.98 real         0.60 user         0.01 sys
        2.91 real         0.61 user         0.01 sys
Analizing File:  hv.c
        2.67 real         0.49 user         0.02 sys
        2.45 real         0.47 user         0.01 sys
        2.50 real         0.46 user         0.03 sys
        2.52 real         0.50 user         0.02 sys
        2.64 real         0.48 user         0.02 sys
        2.48 real         0.48 user         0.01 sys
        2.60 real         0.51 user         0.02 sys
        2.65 real         0.47 user         0.01 sys
        2.50 real         0.47 user         0.01 sys
        3.16 real         0.67 user         0.04 sys
Analizing File:  keywords.c
        4.76 real         0.66 user         0.03 sys
        2.41 real         0.30 user         0.02 sys
        3.89 real         0.40 user         0.03 sys
        4.46 real         0.43 user         0.02 sys
        3.74 real         0.42 user         0.03 sys
        3.97 real         0.40 user         0.02 sys
        3.63 real         0.40 user         0.02 sys
        4.44 real         0.67 user         0.03 sys
        4.18 real         0.63 user         0.02 sys
        4.09 real         0.43 user         0.08 sys
Analizing File:  locale.c
        2.78 real         0.06 user         0.01 sys
        2.75 real         0.09 user         0.02 sys
        2.71 real         0.06 user         0.01 sys
        2.53 real         0.06 user         0.01 sys
        2.94 real         0.08 user         0.02 sys
