Analizing File:  DynaLoader.c
        0.07 real         0.02 user         0.01 sys
        0.07 real         0.02 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
        0.07 real         0.02 user         0.00 sys
        0.07 real         0.03 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
        0.07 real         0.02 user         0.00 sys
Analizing File:  dump.c
        2.84 real         0.61 user         0.01 sys
        2.78 real         0.59 user         0.01 sys
        2.76 real         0.59 user         0.01 sys
        2.81 real         0.59 user         0.01 sys
        2.83 real         0.59 user         0.01 sys
        2.79 real         0.60 user         0.01 sys
        2.83 real         0.59 user         0.01 sys
        2.79 real         0.59 user         0.01 sys
        2.76 real         0.59 user         0.01 sys
        2.79 real         0.59 user         0.01 sys
Analizing File:  Peek.c
        1.34 real         0.16 user         0.01 sys
        1.33 real         0.16 user         0.01 sys
        1.33 real         0.16 user         0.01 sys
        1.33 real         0.16 user         0.01 sys
        2.22 real         0.16 user         0.01 sys
        1.33 real         0.16 user         0.01 sys
        1.33 real         0.15 user         0.01 sys
        1.33 real         0.15 user         0.01 sys
        1.40 real         0.16 user         0.01 sys
        1.33 real         0.16 user         0.01 sys
Analizing File:  Glob.c
        1.37 real         0.15 user         0.01 sys
        1.34 real         0.16 user         0.01 sys
        1.34 real         0.16 user         0.01 sys
        1.34 real         0.15 user         0.01 sys
        1.35 real         0.15 user         0.01 sys
        1.34 real         0.15 user         0.01 sys
        1.33 real         0.15 user         0.01 sys
        1.32 real         0.15 user         0.01 sys
        1.33 real         0.15 user         0.01 sys
        1.33 real         0.15 user         0.01 sys
Analizing File:  bsd_glob.c
        1.35 real         0.13 user         0.01 sys
        1.33 real         0.13 user         0.01 sys
        1.33 real         0.13 user         0.01 sys
        1.34 real         0.13 user         0.01 sys
        1.33 real         0.13 user         0.01 sys
        1.34 real         0.13 user         0.01 sys
        1.71 real         0.13 user         0.01 sys
        1.29 real         0.12 user         0.01 sys
        1.30 real         0.13 user         0.01 sys
        1.29 real         0.12 user         0.01 sys
Analizing File:  Util.c
        1.34 real         0.13 user         0.01 sys
        1.33 real         0.13 user         0.01 sys
        1.31 real         0.13 user         0.01 sys
        1.34 real         0.13 user         0.01 sys
        1.32 real         0.13 user         0.01 sys
        1.30 real         0.12 user         0.01 sys
        1.30 real         0.12 user         0.01 sys
        1.30 real         0.12 user         0.01 sys
        1.30 real         0.12 user         0.01 sys
        1.31 real         0.12 user         0.01 sys
Analizing File:  FieldHash.c
        1.33 real         0.12 user         0.01 sys
        1.32 real         0.12 user         0.01 sys
        1.33 real         0.11 user         0.01 sys
        1.39 real         0.12 user         0.01 sys
        1.32 real         0.12 user         0.01 sys
        1.33 real         0.12 user         0.01 sys
        1.31 real         0.12 user         0.01 sys
        1.40 real         0.13 user         0.01 sys
        1.32 real         0.12 user         0.01 sys
        1.30 real         0.11 user         0.01 sys
Analizing File:  scalar.c
        1.23 real         0.09 user         0.01 sys
        1.20 real         0.09 user         0.01 sys
        1.19 real         0.09 user         0.01 sys
        1.21 real         0.09 user         0.01 sys
        1.20 real         0.09 user         0.01 sys
        1.20 real         0.09 user         0.01 sys
        1.20 real         0.09 user         0.01 sys
        1.25 real         0.09 user         0.02 sys
        1.20 real         0.09 user         0.01 sys
        1.20 real         0.09 user         0.01 sys
Analizing File:  via.c
        1.35 real         0.16 user         0.01 sys
        1.34 real         0.15 user         0.01 sys
        1.35 real         0.15 user         0.01 sys
        1.34 real         0.15 user         0.01 sys
        1.35 real         0.15 user         0.01 sys
        1.36 real         0.15 user         0.01 sys
        1.37 real         0.15 user         0.01 sys
        1.43 real         0.16 user         0.01 sys
        1.39 real         0.16 user         0.01 sys
        1.38 real         0.16 user         0.01 sys
Analizing File:  Hostname.c
        1.08 real         0.03 user         0.01 sys
        1.08 real         0.03 user         0.00 sys
        1.07 real         0.04 user         0.01 sys
        1.07 real         0.04 user         0.01 sys
        1.08 real         0.04 user         0.01 sys
        1.07 real         0.03 user         0.00 sys
        1.06 real         0.03 user         0.01 sys
        1.06 real         0.03 user         0.00 sys
        1.08 real         0.03 user         0.01 sys
        1.08 real         0.03 user         0.00 sys
Analizing File:  NamedCapture.c
        1.18 real         0.08 user         0.01 sys
        1.11 real         0.08 user         0.01 sys
        1.11 real         0.07 user         0.01 sys
        1.11 real         0.08 user         0.01 sys
        1.11 real         0.08 user         0.01 sys
        1.10 real         0.07 user         0.01 sys
        1.10 real         0.07 user         0.01 sys
        1.11 real         0.08 user         0.01 sys
        1.12 real         0.08 user         0.01 sys
        1.21 real         0.08 user         0.01 sys
Analizing File:  stdio.c
        0.12 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.01 sys
        0.13 real         0.04 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.01 sys
        0.12 real         0.03 user         0.01 sys
        0.12 real         0.03 user         0.00 sys
Analizing File:  arybase.c
        1.38 real         0.15 user         0.01 sys
        1.34 real         0.15 user         0.01 sys
        1.37 real         0.15 user         0.01 sys
        1.37 real         0.15 user         0.01 sys
        1.33 real         0.15 user         0.01 sys
        1.34 real         0.15 user         0.01 sys
        1.35 real         0.15 user         0.01 sys
        1.34 real         0.14 user         0.01 sys
        1.34 real         0.15 user         0.01 sys
        1.35 real         0.15 user         0.01 sys
Analizing File:  attributes.c
        1.25 real         0.09 user         0.01 sys
        1.23 real         0.09 user         0.01 sys
        1.24 real         0.09 user         0.01 sys
        1.24 real         0.09 user         0.01 sys
        1.26 real         0.09 user         0.01 sys
        1.23 real         0.09 user         0.01 sys
        1.25 real         0.09 user         0.01 sys
        1.23 real         0.09 user         0.01 sys
        1.25 real         0.09 user         0.01 sys
        1.25 real         0.09 user         0.01 sys
Analizing File:  mro.c
        1.51 real         0.20 user         0.01 sys
        1.47 real         0.21 user         0.01 sys
        1.47 real         0.20 user         0.01 sys
        1.47 real         0.20 user         0.01 sys
        1.47 real         0.20 user         0.01 sys
        1.50 real         0.21 user         0.01 sys
        1.49 real         0.21 user         0.01 sys
        1.51 real         0.20 user         0.03 sys
        1.46 real         0.20 user         0.01 sys
        1.47 real         0.20 user         0.01 sys
Analizing File:  re.c
        1.17 real         0.05 user         0.00 sys
        1.11 real         0.05 user         0.01 sys
        1.11 real         0.05 user         0.00 sys
        1.11 real         0.05 user         0.01 sys
        1.14 real         0.05 user         0.01 sys
        1.11 real         0.05 user         0.01 sys
        1.10 real         0.05 user         0.01 sys
        1.14 real         0.05 user         0.01 sys
        1.17 real         0.05 user         0.00 sys
        1.12 real         0.05 user         0.00 sys
Analizing File:  re_comp.c
       21.75 real        14.04 user         0.08 sys
       21.43 real        13.99 user         0.07 sys
       21.96 real        14.37 user         0.08 sys
       21.46 real        13.88 user         0.07 sys
       21.49 real        14.04 user         0.08 sys
       21.51 real        13.93 user         0.07 sys
       21.62 real        13.88 user         0.07 sys
       21.40 real        13.93 user         0.09 sys
       21.42 real        13.80 user         0.09 sys
