Analizing File:  DynaLoader.c
        1.28 real         0.08 user         0.01 sys
        1.20 real         0.08 user         0.01 sys
        1.19 real         0.09 user         0.01 sys
        1.18 real         0.08 user         0.01 sys
        1.21 real         0.08 user         0.01 sys
        1.27 real         0.08 user         0.01 sys
        1.18 real         0.08 user         0.01 sys
        1.16 real         0.08 user         0.00 sys
        1.15 real         0.08 user         0.00 sys
        1.33 real         0.08 user         0.02 sys
Analizing File:  stdio.c
        0.21 real         0.04 user         0.01 sys
        0.13 real         0.03 user         0.00 sys
        0.14 real         0.03 user         0.01 sys
        0.16 real         0.04 user         0.00 sys
        0.13 real         0.04 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
        0.14 real         0.03 user         0.01 sys
        0.13 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
Analizing File:  arybase.c
        1.56 real         0.16 user         0.01 sys
        1.72 real         0.17 user         0.01 sys
        1.48 real         0.15 user         0.01 sys
        1.43 real         0.15 user         0.01 sys
        1.47 real         0.15 user         0.01 sys
        1.54 real         0.17 user         0.01 sys
        1.45 real         0.16 user         0.01 sys
        1.55 real         0.15 user         0.01 sys
        1.43 real         0.15 user         0.01 sys
        1.58 real         0.15 user         0.03 sys
Analizing File:  attributes.c
        1.44 real         0.10 user         0.01 sys
        1.32 real         0.09 user         0.01 sys
        1.27 real         0.09 user         0.01 sys
        1.28 real         0.09 user         0.01 sys
        1.29 real         0.09 user         0.01 sys
        1.24 real         0.08 user         0.00 sys
        1.28 real         0.09 user         0.01 sys
        1.29 real         0.09 user         0.01 sys
        1.28 real         0.08 user         0.00 sys
        1.40 real         0.09 user         0.00 sys
Analizing File:  mro.c
        1.53 real         0.16 user         0.01 sys
        1.53 real         0.17 user         0.01 sys
        1.58 real         0.16 user         0.01 sys
        1.56 real         0.17 user         0.01 sys
        1.53 real         0.16 user         0.03 sys
        1.53 real         0.16 user         0.01 sys
        1.47 real         0.16 user         0.01 sys
        1.54 real         0.19 user         0.01 sys
        1.61 real         0.19 user         0.01 sys
        1.47 real         0.17 user         0.01 sys
Analizing File:  re.c
        1.22 real         0.05 user         0.01 sys
        1.28 real         0.05 user         0.00 sys
        1.33 real         0.06 user         0.01 sys
        1.29 real         0.06 user         0.00 sys
