Analizing File:  DynaLoader.c
        2.99 real         0.54 user         0.02 sys
        2.84 real         0.52 user         0.01 sys
        2.87 real         0.52 user         0.02 sys
        2.86 real         0.53 user         0.01 sys
        2.91 real         0.56 user         0.02 sys
        2.88 real         0.52 user         0.01 sys
        2.80 real         0.52 user         0.01 sys
Analizing File:  Peek.c
        1.40 real         0.15 user         0.01 sys
        1.49 real         0.15 user         0.01 sys
        1.41 real         0.14 user         0.01 sys
        3.09 real         0.16 user         0.01 sys
        1.52 real         0.15 user         0.01 sys
        1.49 real         0.16 user         0.01 sys
        1.36 real         0.13 user         0.01 sys
        1.34 real         0.14 user         0.01 sys
        1.87 real         0.14 user         0.03 sys
        1.37 real         0.14 user         0.01 sys
Analizing File:  Glob.c
        1.43 real         0.13 user         0.01 sys
        1.29 real         0.12 user         0.01 sys
        1.39 real         0.12 user         0.01 sys
        1.33 real         0.13 user         0.01 sys
        1.36 real         0.12 user         0.01 sys
        1.32 real         0.12 user         0.01 sys
        1.36 real         0.13 user         0.01 sys
        1.31 real         0.12 user         0.01 sys
        1.30 real         0.12 user         0.01 sys
        1.48 real         0.14 user         0.01 sys
Analizing File:  bsd_glob.c
        1.75 real         0.13 user         0.01 sys
        3.96 real         0.12 user         0.01 sys
        2.76 real         0.12 user         0.01 sys
        1.40 real         0.11 user         0.01 sys
        1.34 real         0.11 user         0.00 sys
        1.42 real         0.11 user         0.01 sys
        1.32 real         0.11 user         0.01 sys
        1.37 real         0.11 user         0.00 sys
        1.40 real         0.12 user         0.01 sys
        1.42 real         0.12 user         0.01 sys
Analizing File:  Util.c
        1.49 real         0.12 user         0.01 sys
        1.40 real         0.12 user         0.01 sys
        1.44 real         0.12 user         0.01 sys
        1.53 real         0.13 user         0.00 sys
        1.42 real         0.13 user         0.01 sys
        1.36 real         0.12 user         0.01 sys
        1.40 real         0.11 user         0.00 sys
        1.94 real         0.13 user         0.01 sys
        1.75 real         0.13 user         0.01 sys
        1.72 real         0.14 user         0.01 sys
Analizing File:  FieldHash.c
        1.92 real         0.12 user         0.01 sys
        1.56 real         0.12 user         0.01 sys
        1.40 real         0.11 user         0.01 sys
        1.48 real         0.13 user         0.01 sys
        1.47 real         0.12 user         0.01 sys
        1.48 real         0.12 user         0.01 sys
        1.50 real         0.12 user         0.01 sys
        1.36 real         0.11 user         0.01 sys
        1.70 real         0.11 user         0.01 sys
        1.61 real         0.12 user         0.03 sys
Analizing File:  scalar.c
        1.38 real         0.10 user         0.01 sys
        1.28 real         0.09 user         0.00 sys
        1.37 real         0.10 user         0.01 sys
        1.45 real         0.10 user         0.01 sys
        1.47 real         0.10 user         0.01 sys
        1.33 real         0.10 user         0.01 sys
        1.29 real         0.10 user         0.01 sys
        1.27 real         0.09 user         0.01 sys
        1.58 real         0.09 user         0.00 sys
        1.30 real         0.10 user         0.01 sys
Analizing File:  via.c
        2.10 real         0.17 user         0.03 sys
        1.45 real         0.14 user         0.01 sys
        1.49 real         0.15 user         0.01 sys
        3.10 real         0.19 user         0.01 sys
        1.57 real         0.16 user         0.01 sys
        1.60 real         0.15 user         0.01 sys
        1.40 real         0.15 user         0.01 sys
        1.37 real         0.14 user         0.01 sys
        1.59 real         0.17 user         0.01 sys
        1.47 real         0.15 user         0.01 sys
Analizing File:  Hostname.c
        1.37 real         0.04 user         0.00 sys
        1.16 real         0.03 user         0.00 sys
        1.14 real         0.03 user         0.00 sys
        1.15 real         0.04 user         0.01 sys
        1.21 real         0.03 user         0.00 sys
        1.13 real         0.04 user         0.00 sys
        1.22 real         0.03 user         0.00 sys
        1.15 real         0.04 user         0.00 sys
        1.13 real         0.03 user         0.00 sys
