Analizing File:  tga.c
        0.82 real         0.05 user         0.01 sys
        0.82 real         0.04 user         0.01 sys
        0.80 real         0.04 user         0.01 sys
        0.82 real         0.04 user         0.01 sys
        0.82 real         0.04 user         0.01 sys
        0.79 real         0.04 user         0.01 sys
        0.83 real         0.04 user         0.01 sys
Analizing File:  distort.c
        2.33 real         0.82 user         0.01 sys
        2.31 real         0.78 user         0.01 sys
        2.32 real         0.80 user         0.01 sys
        2.32 real         0.79 user         0.01 sys
        2.36 real         0.82 user         0.01 sys
        2.31 real         0.78 user         0.01 sys
        2.37 real         0.80 user         0.01 sys
        2.31 real         0.78 user         0.01 sys
        2.40 real         0.84 user         0.01 sys
        2.34 real         0.79 user         0.01 sys
Analizing File:  distribute-cache.c
        0.92 real         0.09 user         0.01 sys
        0.91 real         0.10 user         0.01 sys
        0.91 real         0.10 user         0.01 sys
        0.94 real         0.11 user         0.01 sys
        0.95 real         0.09 user         0.01 sys
        0.93 real         0.09 user         0.01 sys
        0.94 real         0.10 user         0.01 sys
        0.93 real         0.10 user         0.01 sys
        1.05 real         0.10 user         0.01 sys
        0.95 real         0.09 user         0.01 sys
Analizing File:  draw.c
        3.67 real         1.34 user         0.02 sys
        3.66 real         1.36 user         0.02 sys
        3.61 real         1.33 user         0.02 sys
        3.61 real         1.35 user         0.02 sys
        3.89 real         1.38 user         0.02 sys
        3.61 real         1.34 user         0.02 sys
        3.65 real         1.38 user         0.02 sys
        3.63 real         1.34 user         0.02 sys
        3.64 real         1.36 user         0.02 sys
        3.63 real         1.34 user         0.02 sys
Analizing File:  effect.c
        2.65 real         0.92 user         0.01 sys
        2.65 real         0.92 user         0.02 sys
        2.68 real         0.95 user         0.02 sys
        2.70 real         0.93 user         0.01 sys
        2.70 real         0.92 user         0.02 sys
        2.70 real         0.92 user         0.02 sys
        2.79 real         0.97 user         0.02 sys
        2.68 real         0.93 user         0.02 sys
        2.67 real         0.92 user         0.02 sys
        2.67 real         0.93 user         0.01 sys
Analizing File:  enhance.c
        2.85 real         0.86 user         0.01 sys
        2.83 real         0.87 user         0.02 sys
        3.03 real         0.93 user         0.02 sys
        2.87 real         0.89 user         0.02 sys
        2.86 real         0.88 user         0.02 sys
        2.98 real         0.92 user         0.02 sys
        2.92 real         0.90 user         0.02 sys
        2.84 real         0.88 user         0.02 sys
        2.85 real         0.89 user         0.02 sys
        2.86 real         0.89 user         0.02 sys
Analizing File:  exception.c
        0.74 real         0.10 user         0.01 sys
        0.72 real         0.10 user         0.01 sys
        0.71 real         0.10 user         0.01 sys
        0.72 real         0.11 user         0.01 sys
        0.73 real         0.10 user         0.01 sys
        0.72 real         0.10 user         0.01 sys
        0.71 real         0.11 user         0.01 sys
        0.70 real         0.10 user         0.01 sys
        0.79 real         0.11 user         0.01 sys
        0.72 real         0.10 user         0.01 sys
Analizing File:  feature.c
        2.16 real         0.70 user         0.01 sys
        2.16 real         0.71 user         0.01 sys
        2.17 real         0.70 user         0.01 sys
        2.17 real         0.71 user         0.01 sys
        2.18 real         0.69 user         0.01 sys
        2.29 real         0.69 user         0.01 sys
        2.17 real         0.71 user         0.01 sys
        2.18 real         0.73 user         0.01 sys
        2.19 real         0.72 user         0.01 sys
        2.17 real         0.71 user         0.01 sys
Analizing File:  fourier.c
        0.93 real         0.11 user         0.01 sys
        0.91 real         0.12 user         0.01 sys
        0.94 real         0.11 user         0.01 sys
        0.90 real         0.12 user         0.01 sys
        0.91 real         0.12 user         0.01 sys
        0.92 real         0.12 user         0.01 sys
        0.95 real         0.12 user         0.01 sys
        0.91 real         0.12 user         0.01 sys
        0.91 real         0.12 user         0.01 sys
        0.91 real         0.12 user         0.01 sys
Analizing File:  fx.c
        2.89 real         0.89 user         0.02 sys
        2.93 real         0.92 user         0.02 sys
        2.90 real         0.91 user         0.02 sys
        2.99 real         0.92 user         0.02 sys
        2.98 real         0.93 user         0.02 sys
        2.83 real         0.88 user         0.01 sys
        2.88 real         0.92 user         0.01 sys
        2.82 real         0.88 user         0.01 sys
        2.83 real         0.86 user         0.01 sys
        2.81 real         0.90 user         0.01 sys
Analizing File:  gem.c
        1.24 real         0.27 user         0.01 sys
        1.20 real         0.22 user         0.01 sys
        1.20 real         0.22 user         0.01 sys
        1.19 real         0.23 user         0.01 sys
        1.21 real         0.23 user         0.01 sys
        1.24 real         0.23 user         0.01 sys
        1.19 real         0.22 user         0.01 sys
        1.19 real         0.22 user         0.01 sys
        1.19 real         0.22 user         0.01 sys
        1.19 real         0.23 user         0.01 sys
Analizing File:  geometry.c
        0.99 real         0.20 user         0.01 sys
        0.97 real         0.17 user         0.01 sys
        0.96 real         0.17 user         0.01 sys
        0.96 real         0.17 user         0.01 sys
        0.95 real         0.18 user         0.01 sys
        0.99 real         0.17 user         0.01 sys
        0.96 real         0.17 user         0.01 sys
        0.96 real         0.17 user         0.01 sys
        0.97 real         0.17 user         0.01 sys
        0.99 real         0.17 user         0.01 sys
Analizing File:  hashmap.c
        0.88 real         0.17 user         0.01 sys
        0.91 real         0.17 user         0.01 sys
        0.89 real         0.17 user         0.01 sys
        0.91 real         0.17 user         0.01 sys
        0.92 real         0.20 user         0.01 sys
        0.91 real         0.19 user         0.01 sys
        0.90 real         0.18 user         0.01 sys
        1.01 real         0.19 user         0.01 sys
        0.91 real         0.17 user         0.01 sys
        0.91 real         0.17 user         0.01 sys
Analizing File:  histogram.c
        1.06 real         0.16 user         0.01 sys
        1.05 real         0.16 user         0.01 sys
        1.04 real         0.16 user         0.01 sys
        1.07 real         0.16 user         0.01 sys
        1.06 real         0.16 user         0.01 sys
        1.09 real         0.17 user         0.01 sys
        1.05 real         0.16 user         0.01 sys
        1.12 real         0.16 user         0.01 sys
        1.08 real         0.18 user         0.01 sys
        1.05 real         0.16 user         0.01 sys
Analizing File:  identify.c
        1.90 real         0.76 user         0.01 sys
        1.84 real         0.75 user         0.01 sys
        1.91 real         0.78 user         0.01 sys
        1.94 real         0.81 user         0.01 sys
        2.14 real         0.84 user         0.01 sys
        1.96 real         0.82 user         0.01 sys
        2.50 real         1.05 user         0.01 sys
        2.45 real         1.01 user         0.01 sys
        2.56 real         1.07 user         0.01 sys
        2.27 real         0.78 user         0.01 sys
Analizing File:  image.c
        2.08 real         0.46 user         0.01 sys
        2.06 real         0.46 user         0.01 sys
        2.09 real         0.47 user         0.01 sys
        2.07 real         0.47 user         0.01 sys
        2.06 real         0.46 user         0.01 sys
        2.06 real         0.46 user         0.01 sys
        2.06 real         0.46 user         0.01 sys
        2.06 real         0.46 user         0.01 sys
        2.10 real         0.46 user         0.01 sys
        2.17 real         0.47 user         0.01 sys
Analizing File:  layer.c
        1.27 real         0.24 user         0.01 sys
        1.31 real         0.24 user         0.01 sys
        1.30 real         0.24 user         0.01 sys
        1.32 real         0.25 user         0.01 sys
        1.38 real         0.28 user         0.01 sys
        1.45 real         0.26 user         0.01 sys
        1.49 real         0.26 user         0.01 sys
        1.41 real         0.26 user         0.01 sys
        1.35 real         0.26 user         0.01 sys
        1.35 real         0.25 user         0.01 sys
Analizing File:  list.c
        0.98 real         0.14 user         0.01 sys
        0.99 real         0.14 user         0.01 sys
        0.95 real         0.14 user         0.01 sys
        0.97 real         0.14 user         0.01 sys
        0.99 real         0.15 user         0.01 sys
        0.98 real         0.15 user         0.01 sys
        0.97 real         0.14 user         0.01 sys
        0.99 real         0.14 user         0.01 sys
        0.96 real         0.15 user         0.01 sys
        1.04 real         0.15 user         0.01 sys
Analizing File:  locale.c
        0.93 real         0.15 user         0.01 sys
        0.94 real         0.14 user         0.01 sys
        0.93 real         0.13 user         0.01 sys
        0.95 real         0.13 user         0.01 sys
        0.94 real         0.14 user         0.01 sys
        0.92 real         0.13 user         0.01 sys
        0.93 real         0.14 user         0.01 sys
        0.92 real         0.13 user         0.01 sys
        0.91 real         0.13 user         0.01 sys
        0.94 real         0.15 user         0.01 sys
Analizing File:  log.c
        1.07 real         0.17 user         0.01 sys
        1.08 real         0.17 user         0.01 sys
        1.09 real         0.17 user         0.01 sys
        1.07 real         0.18 user         0.01 sys
        1.09 real         0.18 user         0.01 sys
        1.08 real         0.17 user         0.01 sys
        1.08 real         0.17 user         0.01 sys
        1.09 real         0.20 user         0.01 sys
        1.09 real         0.17 user         0.01 sys
        1.07 real         0.17 user         0.01 sys
Analizing File:  magic.c
        0.95 real         0.14 user         0.01 sys
        0.97 real         0.15 user         0.01 sys
        0.97 real         0.13 user         0.01 sys
        0.97 real         0.13 user         0.01 sys
        0.97 real         0.14 user         0.01 sys
        0.96 real         0.15 user         0.01 sys
        0.96 real         0.13 user         0.01 sys
        0.96 real         0.14 user         0.01 sys
        0.95 real         0.13 user         0.01 sys
        0.94 real         0.13 user         0.01 sys
Analizing File:  magick.c
        1.04 real         0.13 user         0.01 sys
        1.03 real         0.13 user         0.01 sys
        1.02 real         0.13 user         0.01 sys
        1.02 real         0.13 user         0.01 sys
        1.02 real         0.13 user         0.01 sys
        1.04 real         0.13 user         0.01 sys
        1.07 real         0.15 user         0.01 sys
        1.04 real         0.13 user         0.01 sys
        1.02 real         0.13 user         0.01 sys
        1.02 real         0.12 user         0.01 sys
Analizing File:  matrix.c
        1.03 real         0.15 user         0.01 sys
        1.01 real         0.16 user         0.01 sys
        1.03 real         0.15 user         0.01 sys
        1.02 real         0.16 user         0.01 sys
        1.01 real         0.15 user         0.01 sys
        1.00 real         0.16 user         0.01 sys
        1.07 real         0.15 user         0.01 sys
        1.02 real         0.16 user         0.01 sys
        1.09 real         0.15 user         0.01 sys
        1.05 real         0.16 user         0.01 sys
Analizing File:  memory.c
        0.75 real         0.07 user         0.01 sys
        0.72 real         0.07 user         0.01 sys
        0.72 real         0.07 user         0.01 sys
        0.75 real         0.07 user         0.01 sys
        0.73 real         0.07 user         0.01 sys
        0.73 real         0.07 user         0.01 sys
        0.75 real         0.07 user         0.01 sys
        0.76 real         0.07 user         0.01 sys
        0.73 real         0.07 user         0.01 sys
        0.72 real         0.07 user         0.01 sys
Analizing File:  mime.c
        1.00 real         0.13 user         0.01 sys
        0.96 real         0.13 user         0.01 sys
        0.95 real         0.13 user         0.01 sys
        0.94 real         0.13 user         0.01 sys
        0.98 real         0.14 user         0.01 sys
