Analizing File:  DynaLoader.c
        1.13 real         0.02 user         0.00 sys
        1.13 real         0.02 user         0.00 sys
        1.13 real         0.03 user         0.00 sys
        1.09 real         0.02 user         0.00 sys
        1.09 real         0.02 user         0.00 sys
        1.10 real         0.02 user         0.00 sys
        1.09 real         0.02 user         0.00 sys
        1.11 real         0.02 user         0.00 sys
Analizing File:  Storable.c
        5.94 real         1.78 user         0.04 sys
        5.80 real         1.81 user         0.03 sys
        5.86 real         1.79 user         0.03 sys
        5.71 real         1.73 user         0.03 sys
        5.80 real         1.79 user         0.03 sys
        5.70 real         1.77 user         0.03 sys
        5.69 real         1.74 user         0.03 sys
        5.68 real         1.75 user         0.03 sys
        5.67 real         1.76 user         0.03 sys
        5.75 real         1.75 user         0.03 sys
Analizing File:  doio.c
        2.16 real         0.46 user         0.01 sys
        2.16 real         0.45 user         0.01 sys
        2.11 real         0.45 user         0.01 sys
        2.11 real         0.45 user         0.01 sys
        2.14 real         0.45 user         0.01 sys
        2.13 real         0.46 user         0.01 sys
        2.27 real         0.47 user         0.01 sys
        2.17 real         0.45 user         0.01 sys
        2.14 real         0.44 user         0.01 sys
        2.18 real         0.46 user         0.01 sys
Analizing File:  doop.c
        1.95 real         0.37 user         0.01 sys
        1.88 real         0.36 user         0.01 sys
        1.91 real         0.37 user         0.01 sys
        2.12 real         0.41 user         0.01 sys
        2.04 real         0.38 user         0.01 sys
        1.88 real         0.36 user         0.01 sys
        1.86 real         0.36 user         0.01 sys
        1.89 real         0.37 user         0.01 sys
        1.89 real         0.36 user         0.01 sys
        1.85 real         0.36 user         0.01 sys
Analizing File:  dquote.c
        0.08 real         0.03 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
        0.08 real         0.03 user         0.00 sys
        0.07 real         0.03 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
        0.07 real         0.03 user         0.00 sys
        0.08 real         0.03 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
Analizing File:  dump.c
        2.92 real         0.66 user         0.02 sys
        2.86 real         0.64 user         0.01 sys
        2.98 real         0.65 user         0.02 sys
        3.02 real         0.67 user         0.04 sys
        3.21 real         0.69 user         0.02 sys
        3.34 real         0.67 user         0.02 sys
        3.13 real         0.66 user         0.02 sys
        3.10 real         0.67 user         0.04 sys
        2.95 real         0.65 user         0.03 sys
        3.00 real         0.67 user         0.02 sys
Analizing File:  Peek.c
        1.79 real         0.19 user         0.01 sys
        1.56 real         0.17 user         0.01 sys
        1.51 real         0.18 user         0.01 sys
        1.60 real         0.19 user         0.01 sys
        1.59 real         0.18 user         0.01 sys
        1.43 real         0.16 user         0.01 sys
        1.37 real         0.16 user         0.01 sys
        1.48 real         0.16 user         0.01 sys
        1.36 real         0.16 user         0.01 sys
        1.57 real         0.17 user         0.01 sys
Analizing File:  Glob.c
        1.42 real         0.15 user         0.01 sys
        1.33 real         0.16 user         0.01 sys
        1.54 real         0.16 user         0.01 sys
        1.37 real         0.15 user         0.01 sys
        1.37 real         0.16 user         0.01 sys
        1.43 real         0.16 user         0.01 sys
        1.35 real         0.16 user         0.01 sys
        1.35 real         0.16 user         0.01 sys
        1.44 real         0.16 user         0.01 sys
        1.35 real         0.15 user         0.01 sys
Analizing File:  bsd_glob.c
        1.70 real         0.15 user         0.01 sys
        1.35 real         0.13 user         0.01 sys
        1.47 real         0.13 user         0.01 sys
        1.42 real         0.14 user         0.01 sys
        1.32 real         0.13 user         0.00 sys
        1.44 real         0.14 user         0.01 sys
        1.41 real         0.14 user         0.01 sys
        1.41 real         0.14 user         0.01 sys
        1.37 real         0.13 user         0.01 sys
        1.39 real         0.13 user         0.00 sys
Analizing File:  Util.c
        1.43 real         0.14 user         0.01 sys
        1.43 real         0.14 user         0.01 sys
        1.47 real         0.15 user         0.01 sys
        1.49 real         0.14 user         0.01 sys
        1.36 real         0.14 user         0.00 sys
        1.45 real         0.14 user         0.01 sys
        1.34 real         0.14 user         0.01 sys
        1.78 real         0.14 user         0.00 sys
        1.54 real         0.16 user         0.01 sys
        1.46 real         0.14 user         0.01 sys
Analizing File:  FieldHash.c
        3.10 real         0.13 user         0.04 sys
        1.66 real         0.13 user         0.01 sys
        1.48 real         0.13 user         0.01 sys
        1.62 real         0.13 user         0.01 sys
        1.47 real         0.12 user         0.01 sys
        1.44 real         0.12 user         0.01 sys
        1.53 real         0.13 user         0.01 sys
        1.40 real         0.12 user         0.01 sys
        3.47 real         0.13 user         0.04 sys
        1.42 real         0.13 user         0.01 sys
Analizing File:  scalar.c
        1.39 real         0.11 user         0.01 sys
        1.34 real         0.10 user         0.01 sys
        1.27 real         0.10 user         0.01 sys
        1.39 real         0.10 user         0.01 sys
        1.29 real         0.10 user         0.01 sys
        1.35 real         0.11 user         0.01 sys
        1.46 real         0.11 user         0.01 sys
        1.25 real         0.10 user         0.01 sys
        3.50 real         0.11 user         0.01 sys
        1.30 real         0.10 user         0.01 sys
Analizing File:  via.c
        1.57 real         0.17 user         0.01 sys
        1.52 real         0.18 user         0.01 sys
        1.52 real         0.17 user         0.01 sys
        1.57 real         0.17 user         0.01 sys
        1.64 real         0.18 user         0.01 sys
        1.64 real         0.18 user         0.01 sys
        1.48 real         0.17 user         0.01 sys
        1.50 real         0.17 user         0.01 sys
        1.45 real         0.17 user         0.01 sys
        1.66 real         0.17 user         0.01 sys
Analizing File:  Hostname.c
        1.13 real         0.04 user         0.00 sys
        1.23 real         0.04 user         0.00 sys
        1.15 real         0.03 user         0.00 sys
        1.48 real         0.04 user         0.00 sys
        1.14 real         0.04 user         0.01 sys
        1.20 real         0.04 user         0.00 sys
        1.32 real         0.04 user         0.01 sys
        1.21 real         0.03 user         0.00 sys
        1.17 real         0.04 user         0.00 sys
        1.52 real         0.04 user         0.01 sys
Analizing File:  NamedCapture.c
        1.26 real         0.09 user         0.01 sys
        1.30 real         0.10 user         0.01 sys
        1.19 real         0.08 user         0.00 sys
        1.23 real         0.08 user         0.01 sys
        1.19 real         0.08 user         0.01 sys
        1.17 real         0.08 user         0.01 sys
        1.21 real         0.08 user         0.01 sys
        1.17 real         0.08 user         0.01 sys
        1.21 real         0.09 user         0.01 sys
        1.29 real         0.08 user         0.01 sys
Analizing File:  stdio.c
        0.16 real         0.03 user         0.01 sys
        0.15 real         0.03 user         0.00 sys
        0.15 real         0.04 user         0.00 sys
        0.17 real         0.04 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
        0.13 real         0.03 user         0.00 sys
        0.12 real         0.03 user         0.00 sys
Analizing File:  arybase.c
        1.58 real         0.17 user         0.01 sys
        1.66 real         0.17 user         0.01 sys
        1.47 real         0.16 user         0.01 sys
        1.46 real         0.16 user         0.01 sys
        1.44 real         0.16 user         0.01 sys
        1.48 real         0.17 user         0.01 sys
        1.46 real         0.16 user         0.01 sys
        1.46 real         0.16 user         0.01 sys
        1.74 real         0.18 user         0.01 sys
        1.63 real         0.17 user         0.01 sys
Analizing File:  attributes.c
        1.36 real         0.11 user         0.01 sys
        1.37 real         0.11 user         0.01 sys
        1.25 real         0.10 user         0.01 sys
        1.39 real         0.10 user         0.01 sys
        1.28 real         0.10 user         0.01 sys
        1.27 real         0.10 user         0.00 sys
        1.28 real         0.10 user         0.00 sys
        1.30 real         0.10 user         0.01 sys
        1.29 real         0.09 user         0.01 sys
        1.44 real         0.11 user         0.01 sys
Analizing File:  mro.c
        1.59 real         0.22 user         0.01 sys
        1.60 real         0.22 user         0.01 sys
        1.59 real         0.22 user         0.01 sys
        1.60 real         0.23 user         0.01 sys
        1.54 real         0.22 user         0.01 sys
        1.57 real         0.22 user         0.01 sys
        1.52 real         0.21 user         0.01 sys
        1.71 real         0.25 user         0.01 sys
        1.77 real         0.25 user         0.01 sys
        1.56 real         0.22 user         0.01 sys
Analizing File:  re.c
        1.19 real         0.06 user         0.01 sys
        1.41 real         0.05 user         0.00 sys
        1.28 real         0.05 user         0.00 sys
        1.31 real         0.05 user         0.00 sys
        1.33 real         0.05 user         0.01 sys
        1.18 real         0.05 user         0.00 sys
        2.18 real         0.05 user         0.00 sys
        1.53 real         0.05 user         0.00 sys
        1.55 real         0.06 user         0.01 sys
        1.32 real         0.05 user         0.00 sys
Analizing File:  re_comp.c
        3.80 real         0.02 user         0.00 sys
        3.93 real         0.02 user         0.00 sys
        4.04 real         0.02 user         0.01 sys
        4.06 real         0.02 user         0.00 sys
        4.00 real         0.02 user         0.00 sys
        4.11 real         0.02 user         0.00 sys
        3.93 real         0.03 user         0.00 sys
        4.02 real         0.03 user         0.00 sys
        3.93 real         0.02 user         0.00 sys
        4.88 real         0.02 user         0.03 sys
Analizing File:  re_exec.c
       22.79 real        18.36 user         0.07 sys
       23.12 real        18.84 user         0.07 sys
       24.13 real        19.36 user         0.13 sys
       22.83 real        18.50 user         0.07 sys
       22.89 real        18.62 user         0.07 sys
       23.81 real        18.77 user         0.11 sys
       24.09 real        19.25 user         0.16 sys
       25.03 real        19.14 user         0.19 sys
       25.05 real        19.38 user         0.17 sys
       24.71 real        19.38 user         0.16 sys
Analizing File:  globals.c
        1.94 real         0.14 user         0.00 sys
        1.98 real         0.15 user         0.01 sys
        2.05 real         0.14 user         0.01 sys
        2.08 real         0.14 user         0.02 sys
        2.80 real         0.20 user         0.01 sys
        2.27 real         0.14 user         0.01 sys
        1.96 real         0.14 user         0.01 sys
        2.01 real         0.14 user         0.01 sys
        2.54 real         0.18 user         0.02 sys
        2.51 real         0.18 user         0.01 sys
Analizing File:  gv.c
        3.69 real         1.29 user         0.01 sys
        3.99 real         1.40 user         0.03 sys
        4.53 real         1.46 user         0.02 sys
        3.82 real         1.29 user         0.01 sys
        3.68 real         1.29 user         0.01 sys
        3.65 real         1.29 user         0.01 sys
        3.68 real         1.28 user         0.01 sys
        3.81 real         1.31 user         0.02 sys
        3.91 real         1.36 user         0.02 sys
        4.11 real         1.32 user         0.02 sys
Analizing File:  hv.c
        2.67 real         0.59 user         0.01 sys
        2.81 real         0.65 user         0.02 sys
        2.67 real         0.60 user         0.01 sys
        3.20 real         0.64 user         0.02 sys
        2.93 real         0.76 user         0.02 sys
        4.02 real         0.70 user         0.02 sys
        3.37 real         0.62 user         0.02 sys
        2.76 real         0.63 user         0.02 sys
        2.70 real         0.59 user         0.01 sys
        2.99 real         0.60 user         0.01 sys
Analizing File:  keywords.c
        1.94 real         0.36 user         0.01 sys
        1.87 real         0.34 user         0.01 sys
        1.85 real         0.34 user         0.01 sys
        1.89 real         0.35 user         0.01 sys
        1.87 real         0.35 user         0.01 sys
        2.54 real         0.46 user         0.01 sys
        2.01 real         0.36 user         0.01 sys
        1.87 real         0.34 user         0.01 sys
        2.38 real         0.36 user         0.02 sys
        1.84 real         0.34 user         0.01 sys
Analizing File:  locale.c
        1.15 real         0.03 user         0.00 sys
        1.09 real         0.03 user         0.00 sys
        1.08 real         0.03 user         0.00 sys
        1.07 real         0.03 user         0.00 sys
        1.07 real         0.03 user         0.00 sys
        1.08 real         0.03 user         0.00 sys
        1.27 real         0.04 user         0.01 sys
        1.30 real         0.04 user         0.00 sys
        1.12 real         0.03 user         0.00 sys
        1.15 real         0.04 user         0.01 sys
Analizing File:  mathoms.c
        1.87 real         0.20 user         0.01 sys
        1.85 real         0.20 user         0.01 sys
        1.84 real         0.21 user         0.01 sys
        1.84 real         0.20 user         0.01 sys
        1.85 real         0.21 user         0.01 sys
        1.89 real         0.21 user         0.01 sys
        1.84 real         0.21 user         0.01 sys
        1.90 real         0.21 user         0.01 sys
        1.87 real         0.21 user         0.01 sys
        1.88 real         0.21 user         0.01 sys
Analizing File:  mg.c
        2.58 real         0.51 user         0.01 sys
        2.57 real         0.51 user         0.01 sys
        2.56 real         0.51 user         0.01 sys
        2.57 real         0.52 user         0.01 sys
        2.57 real         0.51 user         0.01 sys
        2.57 real         0.51 user         0.01 sys
        2.56 real         0.51 user         0.01 sys
        2.60 real         0.51 user         0.01 sys
        2.60 real         0.52 user         0.01 sys
        2.55 real         0.51 user         0.01 sys
Analizing File:  mro_core.c
        2.14 real         0.45 user         0.01 sys
        2.13 real         0.45 user         0.01 sys
        2.13 real         0.43 user         0.01 sys
        2.14 real         0.43 user         0.01 sys
        2.13 real         0.44 user         0.01 sys
        2.25 real         0.45 user         0.01 sys
        2.12 real         0.44 user         0.01 sys
        2.15 real         0.44 user         0.01 sys
        2.11 real         0.43 user         0.01 sys
        2.11 real         0.43 user         0.01 sys
Analizing File:  numeric.c
        1.57 real         0.22 user         0.01 sys
        1.53 real         0.21 user         0.01 sys
        1.54 real         0.21 user         0.01 sys
        1.55 real         0.21 user         0.01 sys
        1.53 real         0.21 user         0.01 sys
        1.53 real         0.21 user         0.01 sys
        1.52 real         0.21 user         0.01 sys
        1.52 real         0.21 user         0.01 sys
        1.55 real         0.23 user         0.01 sys
        1.53 real         0.21 user         0.00 sys
Analizing File:  op.c
        8.20 real         3.44 user         0.04 sys
        8.24 real         3.44 user         0.04 sys
        8.26 real         3.49 user         0.04 sys
        8.29 real         3.50 user         0.04 sys
        8.26 real         3.48 user         0.04 sys
        8.23 real         3.45 user         0.04 sys
        8.22 real         3.44 user         0.04 sys
        8.26 real         3.45 user         0.04 sys
        8.44 real         3.50 user         0.04 sys
        8.29 real         3.50 user         0.04 sys
Analizing File:  pad.c
        1.96 real         0.32 user         0.01 sys
        1.94 real         0.32 user         0.01 sys
        1.94 real         0.32 user         0.01 sys
        1.94 real         0.32 user         0.01 sys
        1.94 real         0.32 user         0.01 sys
        1.94 real         0.32 user         0.01 sys
        1.98 real         0.33 user         0.01 sys
        1.95 real         0.33 user         0.01 sys
        1.95 real         0.33 user         0.01 sys
        1.94 real         0.33 user         0.01 sys
Analizing File:  perl.c
        3.26 real         0.51 user         0.01 sys
        3.26 real         0.51 user         0.01 sys
        3.33 real         0.51 user         0.01 sys
        3.28 real         0.51 user         0.01 sys
        3.26 real         0.51 user         0.01 sys
        3.97 real         0.52 user         0.01 sys
        3.31 real         0.51 user         0.01 sys
        3.32 real         0.51 user         0.01 sys
