Analizing File:  DynaLoader.c
        1.10 real         0.02 user         0.00 sys
        1.09 real         0.02 user         0.00 sys
        1.08 real         0.02 user         0.00 sys
        1.10 real         0.02 user         0.00 sys
        1.09 real         0.02 user         0.00 sys
        1.12 real         0.03 user         0.00 sys
        1.12 real         0.02 user         0.00 sys
        1.18 real         0.02 user         0.00 sys
Analizing File:  Storable.c
        5.76 real         1.72 user         0.03 sys
        5.77 real         1.74 user         0.03 sys
        5.77 real         1.76 user         0.03 sys
        5.75 real         1.75 user         0.03 sys
        5.85 real         1.75 user         0.03 sys
        5.67 real         1.75 user         0.03 sys
        5.79 real         1.79 user         0.03 sys
        5.68 real         1.73 user         0.03 sys
        5.71 real         1.74 user         0.03 sys
        5.70 real         1.77 user         0.03 sys
Analizing File:  doio.c
        2.20 real         0.45 user         0.01 sys
        2.13 real         0.44 user         0.01 sys
        2.12 real         0.45 user         0.01 sys
        2.16 real         0.45 user         0.01 sys
        2.17 real         0.46 user         0.01 sys
        2.38 real         0.44 user         0.01 sys
        2.15 real         0.45 user         0.01 sys
        2.11 real         0.44 user         0.01 sys
        2.11 real         0.45 user         0.01 sys
        2.13 real         0.45 user         0.01 sys
Analizing File:  doop.c
        1.91 real         0.36 user         0.01 sys
        1.89 real         0.36 user         0.01 sys
        1.87 real         0.36 user         0.01 sys
        1.98 real         0.36 user         0.01 sys
        1.97 real         0.36 user         0.01 sys
        1.87 real         0.37 user         0.01 sys
        1.91 real         0.38 user         0.01 sys
        1.89 real         0.36 user         0.01 sys
        1.90 real         0.37 user         0.01 sys
        1.88 real         0.36 user         0.01 sys
Analizing File:  dquote.c
        0.07 real         0.02 user         0.00 sys
        0.07 real         0.03 user         0.00 sys
        0.08 real         0.03 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
        0.07 real         0.02 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
        0.07 real         0.03 user         0.00 sys
        0.08 real         0.03 user         0.00 sys
        0.07 real         0.02 user         0.00 sys
        0.06 real         0.02 user         0.00 sys
Analizing File:  dump.c
        2.93 real         0.65 user         0.01 sys
        2.96 real         0.64 user         0.01 sys
        3.03 real         0.66 user         0.02 sys
        2.96 real         0.65 user         0.02 sys
        3.02 real         0.65 user         0.02 sys
        2.95 real         0.66 user         0.01 sys
        3.02 real         0.67 user         0.02 sys
        2.90 real         0.65 user         0.01 sys
        2.98 real         0.65 user         0.01 sys
        3.07 real         0.68 user         0.02 sys
Analizing File:  Peek.c
        1.65 real         0.17 user         0.03 sys
        1.47 real         0.16 user         0.01 sys
        1.84 real         0.19 user         0.01 sys
        1.72 real         0.18 user         0.01 sys
        1.40 real         0.17 user         0.01 sys
        1.42 real         0.16 user         0.01 sys
        1.45 real         0.17 user         0.01 sys
        2.20 real         0.23 user         0.01 sys
        1.36 real         0.16 user         0.01 sys
        1.51 real         0.18 user         0.01 sys
Analizing File:  Glob.c
        1.37 real         0.15 user         0.01 sys
        1.33 real         0.15 user         0.01 sys
        1.40 real         0.15 user         0.01 sys
        1.32 real         0.15 user         0.01 sys
        1.39 real         0.16 user         0.01 sys
        1.57 real         0.16 user         0.01 sys
        1.55 real         0.15 user         0.01 sys
        1.45 real         0.15 user         0.01 sys
        1.39 real         0.15 user         0.01 sys
        1.35 real         0.15 user         0.01 sys
Analizing File:  bsd_glob.c
        1.47 real         0.13 user         0.01 sys
        1.37 real         0.13 user         0.01 sys
        1.37 real         0.14 user         0.01 sys
        1.43 real         0.13 user         0.01 sys
        1.32 real         0.12 user         0.00 sys
        1.43 real         0.15 user         0.01 sys
        1.42 real         0.13 user         0.01 sys
        1.36 real         0.14 user         0.01 sys
        1.35 real         0.12 user         0.01 sys
        1.36 real         0.13 user         0.01 sys
Analizing File:  Util.c
        1.39 real         0.13 user         0.01 sys
        1.46 real         0.13 user         0.01 sys
        1.49 real         0.14 user         0.01 sys
        2.29 real         0.16 user         0.01 sys
        1.35 real         0.13 user         0.01 sys
        1.44 real         0.14 user         0.01 sys
        1.34 real         0.13 user         0.01 sys
        3.20 real         0.14 user         0.01 sys
        1.44 real         0.14 user         0.01 sys
        1.49 real         0.14 user         0.01 sys
Analizing File:  FieldHash.c
        1.66 real         0.13 user         0.01 sys
        1.48 real         0.12 user         0.01 sys
        1.47 real         0.12 user         0.01 sys
        1.58 real         0.14 user         0.01 sys
        1.47 real         0.13 user         0.01 sys
        1.50 real         0.13 user         0.01 sys
        1.45 real         0.13 user         0.01 sys
        1.36 real         0.12 user         0.00 sys
        1.50 real         0.13 user         0.01 sys
        1.47 real         0.13 user         0.01 sys
Analizing File:  scalar.c
