FileName,FuncName and Var Id,M2R-Dual,Dual-M2R
SDL_pixels.c,SDL_DetectPalette-0,set(['25']),set([])
SDL_pixels.c,SDL_DetectPalette-1,"set(['1', '8'])",set([])
SDL_egl.c,SDL_EGL_HasExtension-3,set(['38']),set([])
SDL_egl.c,SDL_EGL_HasExtension-2,set(['37']),set([])
SDL_egl.c,SDL_EGL_HasExtension-1,set(['15']),set([])
SDL_egl.c,SDL_EGL_HasExtension-0,set(['15']),set([])
SDL_egl.c,SDL_EGL_InitializeOffscreen-0,"set(['27', '29'])",set([])
SDL_egl.c,SDL_EGL_InitializeOffscreen-1,"set(['30', '29'])",set([])
SDL_egl.c,SDL_EGL_InitializeOffscreen-3,"set(['30', '29'])",set([])
SDL_egl.c,SDL_EGL_InitializeOffscreen-4,set(['29']),set([])
SDL_egl.c,SDL_EGL_PrivateChooseConfig-5,"set(['90', '89', '81', '45'])",set([])
SDL_egl.c,SDL_EGL_PrivateChooseConfig-1,"set(['90', '45', '89'])",set([])
SDL_egl.c,SDL_EGL_PrivateChooseConfig-2,"set(['90', '45', '89'])",set([])
SDL_egl.c,SDL_EGL_PrivateChooseConfig-9,"set(['44', '36', '43'])",set([])
SDL_timer.c,SDL_TimerQuit-0,"set(['13', '4'])",set([])
SDL_timer.c,SDL_TimerInit-1,set(['10']),set([])
SDL_timer.c,SDL_TimerInit-0,set(['10']),set([])
SDL_timer.c,SDL_TimerThread-3,set(['1']),set([])
SDL_timer.c,SDL_TimerThread-2,set(['1']),set([])
SDL_timer.c,SDL_TimerThread-1,set(['1']),set([])
SDL_timer.c,SDL_TimerThread-0,set(['1']),set([])
SDL_rwops.c,SDL_LoadFile_RW_REAL-4,set(['19']),set([])
SDL_rwops.c,SDL_LoadFile_RW_REAL-3,set(['19']),set([])
SDL_rwops.c,stdio_seek-2,set(['14']),set([])
SDL_rwops.c,mem_seek-2,set(['10']),set([])
SDL_blit_0.c,BlitBto3Key-0,set(['1']),set([])
SDL_blit_0.c,BlitBto4Key-0,set(['1']),set([])
SDL_blit_0.c,BlitBto2Key-0,set(['1']),set([])
SDL_blit_0.c,BlitBtoNAlpha-6,"set(['1', '3'])",set([])
SDL_blit_0.c,BlitBtoNAlpha-7,"set(['1', '3'])",set([])
SDL_blit_0.c,BlitBtoNAlpha-0,set(['1']),set([])
SDL_blit_0.c,BlitBtoNAlpha-1,"set(['1', '3'])",set([])
SDL_blit_0.c,BlitBtoNAlpha-8,"set(['1', '3'])",set([])
SDL_blit_0.c,BlitBtoNAlpha-9,"set(['1', '3'])",set([])
SDL_blit_0.c,BlitBto3Key-1,set(['1']),set([])
SDL_blit_0.c,BlitBto1Key-6,"set(['2', '14'])",set([])
SDL_blit_0.c,BlitBto1Key-0,"set(['25', '14'])",set([])
SDL_blit_0.c,BlitBto1Key-1,"set(['25', '2'])",set([])
SDL_blit_0.c,BlitBtoNAlphaKey-8,"set(['1', '25', '3'])",set([])
SDL_blit_0.c,BlitBtoNAlphaKey-9,"set(['1', '25', '3'])",set([])
SDL_blit_0.c,SDL_CalculateBlit0-2,set(['11']),set([])
SDL_blit_0.c,BlitBtoNAlphaKey-0,set(['1']),set([])
SDL_blit_0.c,BlitBtoNAlphaKey-1,"set(['1', '25', '3'])",set([])
SDL_blit_0.c,BlitBtoNAlphaKey-6,"set(['1', '25', '3'])",set([])
SDL_blit_0.c,BlitBtoNAlphaKey-7,"set(['1', '25', '3'])",set([])
SDL_blit_0.c,BlitBto2-1,set(['1']),set([])
