Analizing File:  tga.c
        1.96 real         0.53 user         0.01 sys
        2.01 real         0.54 user         0.02 sys
        1.97 real         0.53 user         0.01 sys
        1.98 real         0.54 user         0.01 sys
Analizing File:  fourier.c
        0.91 real         0.11 user         0.01 sys
        0.90 real         0.12 user         0.01 sys
        0.88 real         0.11 user         0.01 sys
        0.88 real         0.11 user         0.01 sys
        0.89 real         0.10 user         0.01 sys
        0.88 real         0.11 user         0.01 sys
        0.88 real         0.11 user         0.01 sys
        0.88 real         0.10 user         0.01 sys
        0.90 real         0.11 user         0.01 sys
        0.89 real         0.11 user         0.01 sys
Analizing File:  fx.c
        2.76 real         0.79 user         0.01 sys
        2.79 real         0.79 user         0.02 sys
        2.77 real         0.81 user         0.02 sys
        2.76 real         0.78 user         0.02 sys
        2.82 real         0.81 user         0.02 sys
        2.78 real         0.81 user         0.02 sys
        2.77 real         0.79 user         0.02 sys
        2.75 real         0.79 user         0.02 sys
        2.76 real         0.79 user         0.02 sys
        2.77 real         0.79 user         0.02 sys
Analizing File:  gem.c
        1.25 real         0.23 user         0.01 sys
        1.21 real         0.22 user         0.01 sys
        1.21 real         0.22 user         0.01 sys
        1.22 real         0.22 user         0.01 sys
        1.24 real         0.22 user         0.01 sys
        1.21 real         0.23 user         0.01 sys
        1.21 real         0.23 user         0.01 sys
        1.22 real         0.22 user         0.01 sys
        1.22 real         0.22 user         0.01 sys
        1.21 real         0.23 user         0.01 sys
Analizing File:  geometry.c
        0.98 real         0.17 user         0.01 sys
        0.98 real         0.17 user         0.01 sys
        0.97 real         0.17 user         0.01 sys
        0.99 real         0.17 user         0.01 sys
        0.99 real         0.17 user         0.01 sys
        0.98 real         0.17 user         0.01 sys
        0.99 real         0.17 user         0.01 sys
        0.99 real         0.18 user         0.01 sys
        0.98 real         0.17 user         0.01 sys
        0.98 real         0.17 user         0.01 sys
Analizing File:  hashmap.c
        0.95 real         0.17 user         0.01 sys
        0.93 real         0.17 user         0.01 sys
        0.91 real         0.16 user         0.01 sys
        0.92 real         0.17 user         0.01 sys
        0.92 real         0.17 user         0.01 sys
        0.91 real         0.16 user         0.01 sys
        0.91 real         0.17 user         0.01 sys
        0.93 real         0.17 user         0.01 sys
        0.93 real         0.17 user         0.01 sys
        0.92 real         0.17 user         0.01 sys
Analizing File:  histogram.c
        1.07 real         0.16 user         0.01 sys
        1.13 real         0.17 user         0.01 sys
        1.08 real         0.16 user         0.01 sys
        1.06 real         0.16 user         0.01 sys
        1.08 real         0.16 user         0.01 sys
        1.08 real         0.17 user         0.01 sys
        1.08 real         0.16 user         0.01 sys
        1.10 real         0.17 user         0.01 sys
        1.09 real         0.17 user         0.01 sys
        1.08 real         0.16 user         0.01 sys
Analizing File:  identify.c
        1.55 real         0.43 user         0.01 sys
        1.54 real         0.42 user         0.01 sys
        1.54 real         0.42 user         0.01 sys
        1.54 real         0.42 user         0.01 sys
        1.62 real         0.43 user         0.01 sys
        1.54 real         0.42 user         0.01 sys
        1.54 real         0.42 user         0.01 sys
        1.54 real         0.42 user         0.01 sys
        1.55 real         0.43 user         0.01 sys
        1.54 real         0.42 user         0.01 sys
Analizing File:  image.c
        2.08 real         0.44 user         0.01 sys
        2.07 real         0.44 user         0.01 sys
        2.10 real         0.43 user         0.01 sys
        2.17 real         0.48 user         0.01 sys
        2.08 real         0.44 user         0.01 sys
        2.07 real         0.44 user         0.01 sys
        2.08 real         0.44 user         0.01 sys
        2.09 real         0.44 user         0.01 sys
        2.12 real         0.44 user         0.01 sys
        2.07 real         0.44 user         0.01 sys
Analizing File:  layer.c
        1.30 real         0.23 user         0.01 sys
        1.31 real         0.23 user         0.01 sys
        1.30 real         0.23 user         0.01 sys
        1.30 real         0.23 user         0.01 sys
        1.29 real         0.23 user         0.01 sys
        1.45 real         0.27 user         0.01 sys
        1.76 real         0.31 user         0.02 sys
        1.87 real         0.35 user         0.02 sys
        1.91 real         0.32 user         0.02 sys
        1.31 real         0.23 user         0.01 sys
Analizing File:  list.c
        1.20 real         0.18 user         0.01 sys
        1.00 real         0.15 user         0.01 sys
        0.95 real         0.15 user         0.01 sys
        0.94 real         0.15 user         0.01 sys
        0.95 real         0.15 user         0.01 sys
        0.94 real         0.14 user         0.01 sys
        0.94 real         0.14 user         0.01 sys
        0.97 real         0.15 user         0.01 sys
        0.94 real         0.14 user         0.01 sys
        0.96 real         0.14 user         0.01 sys
Analizing File:  locale.c
        0.93 real         0.13 user         0.01 sys
        0.90 real         0.13 user         0.01 sys
        0.90 real         0.13 user         0.01 sys
        0.92 real         0.13 user         0.01 sys
        0.89 real         0.13 user         0.01 sys
        0.90 real         0.13 user         0.01 sys
        0.89 real         0.13 user         0.01 sys
        0.89 real         0.13 user         0.01 sys
        0.90 real         0.13 user         0.01 sys
        0.90 real         0.13 user         0.01 sys
Analizing File:  log.c
        1.10 real         0.19 user         0.01 sys
        1.06 real         0.16 user         0.01 sys
        1.04 real         0.16 user         0.01 sys
        1.05 real         0.17 user         0.01 sys
        1.04 real         0.16 user         0.01 sys
        1.04 real         0.17 user         0.01 sys
        1.04 real         0.17 user         0.01 sys
        1.05 real         0.17 user         0.01 sys
        1.08 real         0.17 user         0.01 sys
