Analizing File:  alias.c
        5.97 real         1.63 user         0.03 sys
        6.05 real         1.68 user         0.03 sys
Analizing File:  c-pch.c
        1.65 real         0.13 user         0.01 sys
        1.65 real         0.13 user         0.01 sys
        1.65 real         0.13 user         0.01 sys
        1.72 real         0.13 user         0.01 sys
        1.66 real         0.13 user         0.01 sys
        1.68 real         0.14 user         0.01 sys
        1.84 real         0.13 user         0.01 sys
        2.11 real         0.14 user         0.01 sys
        1.69 real         0.13 user         0.01 sys
        1.69 real         0.13 user         0.01 sys
Analizing File:  c-ppoutput.c
        1.71 real         0.18 user         0.01 sys
        1.69 real         0.18 user         0.01 sys
        1.70 real         0.18 user         0.01 sys
        1.69 real         0.19 user         0.01 sys
        1.67 real         0.18 user         0.01 sys
        1.70 real         0.18 user         0.01 sys
        1.67 real         0.18 user         0.01 sys
        1.74 real         0.18 user         0.01 sys
        2.00 real         0.18 user         0.01 sys
        1.93 real         0.18 user         0.04 sys
Analizing File:  c-pragma.c
        3.04 real         0.45 user         0.03 sys
        2.90 real         0.44 user         0.01 sys
        2.96 real         0.45 user         0.01 sys
        3.10 real         0.46 user         0.02 sys
        2.97 real         0.45 user         0.01 sys
        2.87 real         0.45 user         0.01 sys
        2.91 real         0.47 user         0.01 sys
        2.91 real         0.44 user         0.01 sys
        2.93 real         0.44 user         0.01 sys
        3.50 real         0.53 user         0.04 sys
Analizing File:  c-pretty-print.c
        2.89 real         0.54 user         0.03 sys
        2.58 real         0.46 user         0.02 sys
        2.54 real         0.46 user         0.02 sys
        2.54 real         0.47 user         0.02 sys
        2.53 real         0.45 user         0.02 sys
        2.50 real         0.45 user         0.01 sys
        2.54 real         0.45 user         0.04 sys
        2.52 real         0.44 user         0.02 sys
        2.59 real         0.46 user         0.02 sys
        2.54 real         0.45 user         0.02 sys
Analizing File:  c-semantics.c
        2.99 real         0.14 user         0.01 sys
        3.04 real         0.14 user         0.01 sys
        3.24 real         0.14 user         0.02 sys
        2.92 real         0.13 user         0.01 sys
        3.60 real         0.14 user         0.01 sys
        3.23 real         0.16 user         0.03 sys
        3.40 real         0.13 user         0.01 sys
        3.75 real         0.14 user         0.01 sys
        4.10 real         0.18 user         0.01 sys
        4.47 real         0.18 user         0.01 sys
Analizing File:  c-typeck.c
        9.79 real         3.25 user         0.05 sys
       11.08 real         3.45 user         0.07 sys
        9.60 real         3.32 user         0.07 sys
        9.65 real         3.29 user         0.06 sys
       11.14 real         3.60 user         0.08 sys
       10.40 real         3.37 user         0.07 sys
        9.82 real         3.31 user         0.07 sys
       13.16 real         4.02 user         0.08 sys
        9.23 real         3.23 user         0.04 sys
        9.26 real         3.17 user         0.04 sys
Analizing File:  caller-save.c
        3.20 real         0.47 user         0.01 sys
        3.19 real         0.47 user         0.01 sys
        3.14 real         0.47 user         0.01 sys
        3.14 real         0.46 user         0.01 sys
        3.12 real         0.48 user         0.01 sys
        3.13 real         0.47 user         0.01 sys
        3.16 real         0.48 user         0.01 sys
        3.13 real         0.47 user         0.01 sys
        3.16 real         0.48 user         0.01 sys
        3.14 real         0.47 user         0.01 sys
Analizing File:  calls.c
Analizing File:  cc1-checksum.c
        0.35 real         0.03 user         0.01 sys
        0.33 real         0.02 user         0.00 sys
        0.34 real         0.02 user         0.00 sys
        0.33 real         0.03 user         0.00 sys
        0.34 real         0.03 user         0.00 sys
        0.33 real         0.02 user         0.00 sys
        0.33 real         0.02 user         0.00 sys
        0.33 real         0.02 user         0.01 sys
        0.33 real         0.02 user         0.00 sys
        0.33 real         0.02 user         0.00 sys
Analizing File:  cfg.c
        4.12 real         0.45 user         0.01 sys
        3.99 real         0.44 user         0.01 sys
        5.09 real         0.53 user         0.02 sys
        4.38 real         0.49 user         0.02 sys
        4.16 real         0.46 user         0.01 sys
        4.17 real         0.46 user         0.01 sys
        4.17 real         0.46 user         0.01 sys
        4.17 real         0.46 user         0.01 sys
        4.22 real         0.46 user         0.01 sys
        4.15 real         0.46 user         0.01 sys
Analizing File:  cfganal.c
        2.89 real         0.49 user         0.01 sys
        2.87 real         0.48 user         0.01 sys
        2.87 real         0.48 user         0.01 sys
        2.86 real         0.48 user         0.01 sys
        2.86 real         0.48 user         0.01 sys
        2.87 real         0.48 user         0.01 sys
        2.87 real         0.48 user         0.01 sys
        2.88 real         0.48 user         0.01 sys
        2.87 real         0.48 user         0.01 sys
        2.87 real         0.49 user         0.01 sys
Analizing File:  cfgbuild.c
        2.62 real         0.27 user         0.01 sys
        2.60 real         0.27 user         0.01 sys
        2.65 real         0.27 user         0.01 sys
        2.62 real         0.28 user         0.01 sys
        2.61 real         0.27 user         0.01 sys
        2.62 real         0.27 user         0.01 sys
        2.61 real         0.27 user         0.01 sys
        2.62 real         0.27 user         0.01 sys
        2.70 real         0.28 user         0.01 sys
        2.74 real         0.28 user         0.01 sys
Analizing File:  cfgcleanup.c
        7.51 real         4.23 user         0.03 sys
        7.46 real         4.21 user         0.03 sys
        7.50 real         4.21 user         0.03 sys
        7.59 real         4.22 user         0.03 sys
        7.47 real         4.21 user         0.03 sys
        7.66 real         4.23 user         0.03 sys
        7.52 real         4.25 user         0.03 sys
        7.42 real         4.21 user         0.03 sys
        7.47 real         4.22 user         0.03 sys
        7.49 real         4.25 user         0.03 sys
Analizing File:  cfgexpand.c
        6.22 real         1.36 user         0.05 sys
        6.05 real         1.35 user         0.03 sys
        6.09 real         1.35 user         0.03 sys
        6.01 real         1.35 user         0.03 sys
        6.72 real         1.45 user         0.03 sys
        6.71 real         1.49 user         0.04 sys
        5.98 real         1.34 user         0.03 sys
        6.03 real         1.37 user         0.03 sys
        5.92 real         1.34 user         0.02 sys
        6.21 real         1.42 user         0.03 sys
Analizing File:  cfghooks.c
        3.57 real         0.36 user         0.01 sys
        3.63 real         0.37 user         0.01 sys
        3.53 real         0.36 user         0.01 sys
        3.60 real         0.36 user         0.01 sys
        3.64 real         0.36 user         0.01 sys
        3.57 real         0.36 user         0.01 sys
        3.49 real         0.36 user         0.01 sys
        3.54 real         0.37 user         0.01 sys
        3.62 real         0.37 user         0.01 sys
        3.56 real         0.36 user         0.01 sys
Analizing File:  cfglayout.c
        3.52 real         0.47 user         0.01 sys
        3.34 real         0.47 user         0.01 sys
        3.39 real         0.47 user         0.01 sys
        3.32 real         0.48 user         0.01 sys
        3.33 real         0.47 user         0.01 sys
        3.32 real         0.48 user         0.01 sys
        3.35 real         0.47 user         0.01 sys
        3.33 real         0.48 user         0.01 sys
        3.26 real         0.47 user         0.01 sys
        3.27 real         0.47 user         0.01 sys
Analizing File:  cfgloop.c
        3.92 real         0.59 user         0.01 sys
        3.98 real         0.59 user         0.01 sys
        4.09 real         0.59 user         0.01 sys
        4.39 real         0.62 user         0.02 sys
        4.23 real         0.62 user         0.02 sys
        4.16 real         0.60 user         0.02 sys
        4.24 real         0.62 user         0.02 sys
        4.17 real         0.62 user         0.02 sys
        4.17 real         0.61 user         0.02 sys
