FileName,TotalInstm2r,TotalInstdual,PhiInsertedm2r,PhiInserteddual,Phim2r,Phidual
tree-ssa-math-opts.c,3484,3370,229,169,0,0
gcse.c,11059,10702,550,351,0,0
cpp_symtab.c,862,856,46,43,0,0
df-core.c,4423,4321,171,107,0,0
combine.c,41379,40244,2189,1530,0,0
jump.c,4210,4118,201,147,0,0
attribs.c,958,913,51,28,0,0
gimple-iterator.c,1690,1684,26,23,0,0
xmalloc.c,73,73,5,5,0,0
except.c,6607,6435,405,314,0,0
varasm.c,16665,16196,750,494,0,0
filename_cmp.c,4,4,0,0,0,0
cgraphunit.c,5246,5138,214,158,0,0
tree-object-size.c,3666,3569,187,131,0,0
rtl.c,1049,1021,28,14,0,0
tree-parloops.c,5414,5364,137,108,0,0
dce.c,3690,3485,211,104,0,0
cpp_errors.c,139,139,5,5,0,0
tree-ssa-loop-ivopts.c,14647,14478,475,385,0,0
hex.c,1,1,0,0,0,0
xstrerror.c,11,11,1,1,0,0
lto-opts.c,661,661,10,10,0,0
cselib.c,4971,4796,301,203,0,0
tree-ssa.c,6348,6200,286,198,0,0
params.c,113,113,2,2,0,0
tree-inline.c,13424,13049,533,309,0,0
tree-vect-generic.c,1684,1675,59,54,0,0
tree-ssa-ifcombine.c,1544,1514,73,52,0,0
alloca.c,90,90,3,3,0,0
mini-gmp.c,10520,10174,704,526,0,0
bt-load.c,4415,4284,182,108,0,0
cfg.c,4159,4137,72,61,0,0
host-ieee64.c,22,22,0,0,0,0
ira-costs.c,5144,4934,338,231,0,0
ipa-utils.c,446,439,14,10,0,0
tree-if-conv.c,3071,3043,94,77,0,0
tree-into-ssa.c,8309,8165,222,141,0,0
dbxout.c,9590,9443,309,229,0,0
tree-ssa-sink.c,1937,1899,98,73,0,0
lto-section-in.c,404,404,15,15,0,0
caller-save.c,4147,3922,302,183,0,0
emit-rtl.c,13938,13708,591,467,0,0
diagnostic.c,1305,1303,18,17,0,0
tree-ssa-forwprop.c,4233,4136,297,236,0,0
tree-ssa-loop-ivcanon.c,1921,1896,68,53,0,0
tree-pretty-print.c,5333,5215,143,83,0,0
gimple.c,12535,12319,428,310,0,0
c-cppbuiltin.c,2879,2874,29,26,0,0
tree-nrv.c,1053,1042,38,34,0,0
tree-ssa-loop-manip.c,3929,3910,82,71,0,0
xstrdup.c,10,10,0,0,0,0
cpp_directives.c,4729,4681,190,157,0,0
tree-vrp.c,17639,17194,949,686,0,0
tree-switch-conversion.c,1951,1922,66,48,0,0
regex.c,13437,12901,1559,1284,0,0
insn-automata.c,8773,8773,180,180,0,0
rtl-error.c,203,203,5,5,0,0
cpp_charset.c,3219,3159,182,146,0,0
tree-chrec.c,3383,3355,117,103,0,0
postreload.c,4392,4111,357,213,0,0
regstat.c,1667,1633,55,37,0,0
sel-sched.c,24168,23919,685,531,0,0
reg-stack.c,8589,8305,470,317,0,0
tree-stdarg.c,3178,3117,159,123,0,0
concat.c,205,205,4,4,0,0
tree-ssa-loop-ch.c,1192,1165,44,30,0,0
loop-init.c,745,737,17,13,0,0
reorg.c,10,10,0,0,0,0
sbitmap.c,3128,3011,249,185,0,0
modulo-sched.c,8011,7740,455,313,0,0
lrealpath.c,3,3,0,0,0,0
c-format.c,5193,5048,377,297,0,0
web.c,1309,1279,59,44,0,0
c-errors.c,62,62,0,0,0,0
stringpool.c,415,405,13,8,0,0
cpp_expr.c,4186,4152,184,164,0,0
stub-objc.c,122,122,0,0,0,0
tree-optimize.c,853,853,11,11,0,0
tree-ssa-threadedge.c,2323,2259,121,85,0,0
xatexit.c,71,69,7,6,0,0
tree-tailcall.c,3076,3021,137,104,0,0
graphds.c,1305,1273,70,54,0,0
c-convert.c,222,222,7,7,0,0
tree-ssa-loop-unswitch.c,1209,1201,41,37,0,0
dwarf2asm.c,1101,1078,53,41,0,0
lbasename.c,24,24,3,3,0,0
haifa-sched.c,14286,14014,546,386,0,0
value-prof.c,3306,3264,96,73,0,0
stmt.c,7131,6824,564,394,0,0
sched-ebb.c,1750,1712,81,58,0,0
tree-ssa-uncprop.c,2163,2127,49,30,0,0
tracer.c,1240,1210,66,49,0,0
postreload-gcse.c,3551,3491,155,125,0,0
decimal128.c,1512,1498,84,77,0,0
tree-vect-loop-manip.c,5076,4967,176,119,0,0
sese.c,5206,5142,165,124,0,0
cpp_lex.c,5735,5630,299,234,0,0
cpp_init.c,1013,1011,19,18,0,0
xexit.c,9,9,0,0,0,0
unlink-if-ordinary.c,27,27,2,2,0,0
rtlanal.c,14261,13737,815,477,0,0
cpp_files.c,3024,2961,173,135,0,0
ifcvt.c,12033,-1,664,-1,0,-1
coverage.c,2435,2345,175,128,0,0
tree-ssa-copy.c,2303,2284,65,53,0,0
tree-vect-loop.c,9700,9517,550,449,0,0
tree-dump.c,2344,2277,94,60,0,0
et-forest.c,765,759,16,13,0,0
ira-color.c,9195,8808,635,441,0,0
rtlhooks.c,191,191,11,11,0,0
bb-reorder.c,5376,5165,386,278,0,0
c-semantics.c,281,281,8,8,0,0
decContext.c,361,361,6,6,0,0
cgraphbuild.c,742,728,25,18,0,0
mcf.c,3151,3112,142,120,0,0
tree-cfgcleanup.c,2744,2663,167,120,0,0
regrename.c,4199,4033,231,142,0,0
ira-conflicts.c,3042,2947,159,107,0,0
opts-common.c,390,365,41,27,0,0
langhooks.c,865,847,30,21,0,0
cfganal.c,4899,4856,166,140,0,0
xmemdup.c,8,8,0,0,0,0
cfgloopmanip.c,5111,5014,198,146,0,0
tree-ssa-coalesce.c,3915,3838,158,114,0,0
tree-vect-slp.c,5942,5826,305,236,0,0
lto-section-out.c,901,883,31,22,0,0
dominance.c,4460,4398,158,125,0,0
mkstemps.c,126,119,10,4,0,0
cpp_identifiers.c,336,336,1,1,0,0
tree-mudflap.c,2719,2681,98,79,0,0
c-parser.c,13837,13341,926,635,0,0
options.c,4232,4232,0,0,0,0
toplev.c,2993,2967,109,91,0,0
init-regs.c,289,277,16,9,0,0
tree-outof-ssa.c,3811,3770,86,61,0,0
lto-streamer-in.c,7510,7448,139,105,0,0
lto-cgraph.c,2138,2114,60,48,0,0
tree-ssa-loop-prefetch.c,3967,3891,225,186,0,0
tree-ssa-ter.c,1825,1802,55,43,0,0
insn-extract.c,18322,18322,0,0,0,0
print-tree.c,3137,3061,61,23,0,0
plugin.c,949,926,57,45,0,0
builtins.c,17132,16838,817,607,0,0
gimple-low.c,1749,1742,41,37,0,0
resource.c,3290,3122,205,116,0,0
tree-vect-stmts.c,11115,10866,631,499,0,0
main.c,4,4,0,0,0,0
prefix.c,335,320,32,24,0,0
lto-streamer-out.c,6307,6270,95,75,0,0
dbgcnt.c,208,208,9,9,0,0
ipa-struct-reorg.c,8394,8267,335,251,0,0
df-problems.c,9850,9692,325,235,0,0
dse.c,8277,7865,495,270,0,0
hooks.c,134,134,0,0,0,0
FinalResults,1884549,1725325,86232,58951,0,-5
